na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
3,2,4,0.000542002445273498,119675428.735019,0.0103942137281942,0.0217271002829575,29918857.1919206,135
3,2,3,0.00102714059033073,119675434.008807,0.0140813107037304,0.0240361035959537,29918858.5119878,136
3,1,4,0.00363135049818603,119679911.6537,0.00921043080045647,0.0180704793103775,29919977.9211529,137
3,1,3,0.00208760999296681,119679921.65901,0.0166167645991336,0.0112456334755608,29919980.42224,138
3,1,2,0.00425540572798637,119688242.397842,0.0110536627490874,0.0163270963244474,29922060.6073696,139
3,1,1,0.00482356629909924,119696340.150653,0.017158094746927,0.0115574529235096,29924085.046048,140
2,2,1,0.106509979750378,277769997156.369,1832.87664604558,0.0484936559776539,69442499747.3502,141
10,4,1,5.42882014575204e-08,0.0250596618515015,1.36420293632519e+21,0.00268146709960478,3.41050734081298e+20,142
5,4,2,0.00377163103340492,3.39838654338059e+44,0.009768852760826,0.0138713301258017,8.49596635845147e+43,143
5,4,3,0.00473177393283389,3.40857307065899e+44,0.00279444248121933,0.00489423204312932,8.52143267664749e+43,144
5,3,3,0.00309658308324622,3.40980543610248e+44,0.00790022464766951,0.00647341302111256,8.5245135902562e+43,145
5,4,4,0.000873472760726941,3.48360710059736e+44,0.00635562241759529,0.00182121490776714,8.7090177514934e+43,146
5,3,4,0.000456202611933585,3.4850870283146e+44,0.0115467346689144,0.0121784434864793,8.7127175707865e+43,147
5,2,4,0.00219575680795776,3.48600812289219e+44,0.00607614682389338,0.0154940961455869,8.71502030723047e+43,148
5,4,1,0.00276855957910854,3.53834913619068e+44,0.0141814305797125,0.012182505706963,8.8458728404767e+43,149
5,3,2,0.00114905319339376,3.54997882294542e+44,0.00289909827408302,0.00204443674674131,8.87494705736356e+43,150
5,2,3,0.000946832917013517,3.62680860542888e+44,0.00767477924866095,0.0144187500021701,9.0670215135722e+43,151
5,3,1,0.00340083815495958,3.6926722930732e+44,0.00822300333432235,0.00271474447638755,9.23168073268299e+43,152
5,2,2,1.27379546979753e-05,3.77000462623082e+44,0.00715866531865535,0.00799972714970255,9.42501156557706e+43,153
5,2,1,0.00218835222879072,3.91554290036715e+44,0.00771878721987708,0.00926845108852196,9.78885725091788e+43,154
5,1,4,0.000847904146751183,4.13992152659906e+44,0.00200758404874246,0.00392086636811512,1.03498038164977e+44,155
5,1,3,0.000836578431488483,4.27870263876539e+44,0.00856195616896032,0.0109909045246249,1.06967565969135e+44,156
5,1,1,0.00221930046459093,4.55908968461585e+44,0.00635573490837946,0.00663938236008763,1.13977242115396e+44,157
1,4,2,0.0436824125073123,0.0280692108700249,710786963275.452,2.45096807611573e+69,6.12742019028932e+68,158
1,3,1,0.0440032048330435,0.0289383623010863,6.29710357911491e+58,3.73369043334018e+194,9.33422608335044e+193,159
1,4,1,0.0548901165405322,0.0281423671901171,8.74900351694875e+134,2.23197900342653e+207,5.57994750856633e+206,160
