Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_S,Projected_S,AbsError_S,Truth_I,Projected_I,AbsError_I
A3,ARX,I,77,13,90,95924.9267476046,96079.0079997962,154.081252191638,536.032044895051,750.35646972088,214.324424825829
A3,ARX,I,77,14,91,95822.0210057213,95972.4322009246,150.41119520324,553.997223744905,783.053788430736,229.056564685831
A3,ARX,I,84,1,85,96420.2175679985,96455.2299947095,35.0124267110223,438.594257521685,449.020150718684,10.4258931969987
A3,ARX,I,84,2,86,96324.7767806512,96393.1653331302,68.3885524790094,458.565039176895,479.364191287953,20.7991521110579
A3,ARX,I,84,3,87,96227.2258724806,96327.5199734476,100.294100966945,478.451120116738,509.351904374177,30.9007842574391
A3,ARX,I,84,4,88,96127.8573999285,96258.7929328124,130.93553288393,498.097840270775,538.605068580433,40.5072283096578
A3,ARX,I,84,5,89,96026.9827996338,96187.5360334065,160.553233772764,517.345420388846,566.74515984994,49.3997394610947
A3,ARX,I,84,6,90,95924.9267476046,96114.3395666701,189.412819065561,536.032044895051,593.406240148428,57.3741952533773
A3,ARX,I,84,7,91,95822.0210057213,96039.8160214052,217.795015683907,553.997223744905,618.247953839596,64.2507300946918
A3,ARX,I,84,8,92,95718.5979590477,95964.5826662494,245.984707201656,571.085327478833,640.967898147386,69.8825706685532
A3,ARX,I,84,9,93,95614.9840657974,95889.243883364,274.259817566548,587.149174866444,661.312632019942,74.1634571534979
A3,ARX,I,84,10,94,95511.4934480653,95814.3741915231,302.880743457761,602.05354361318,679.086645514518,77.0331019013383
A3,ARX,I,84,11,95,95408.4218449282,95740.5028639244,332.081018996148,615.678472487057,694.158730146924,78.4802576598676
A3,ARX,I,84,12,96,95306.0411305964,95668.1009380175,362.059807421101,627.922228373763,706.465362448359,78.5431340745969
A3,ARX,I,84,13,97,95204.5945702692,95597.571240365,392.976670095857,638.703824100037,716.010923017495,77.3070989174578
A3,ARX,I,84,14,98,95104.2929473768,95529.2418275692,424.948880192373,647.964991744517,722.864799518619,74.8998077741023
A3,ARX,I,91,1,92,95718.5979590477,95761.5708934221,42.9729343744111,571.085327478833,574.346291792553,3.26096431372002
A3,ARX,I,91,2,93,95614.9840657974,95700.9686978205,85.9846320230572,587.149174866444,592.550312208817,5.40113734237241
A3,ARX,I,91,3,94,95511.4934480653,95640.7439086631,129.250460597817,602.05354361318,608.423365486443,6.36982187326339
A3,ARX,I,91,4,95,95408.4218449282,95581.3909383092,172.969093380903,615.678472487057,621.833431678481,6.15495919142427
A3,ARX,I,91,5,96,95306.0411305964,95523.3580768668,217.316946270381,627.922228373763,632.705342986739,4.78311461297619
A3,ARX,I,91,6,97,95204.5945702692,95467.038659807,262.444089537777,638.703824100037,641.021362558574,2.31753845853711
A3,ARX,I,91,7,98,95104.2929473768,95412.7646661021,308.471718725355,647.964991744517,646.819503589795,1.14548815472233
A3,ARX,I,91,8,99,95005.3116507872,95360.8027991513,355.49114836409,655.671540442828,650.189838857276,5.48170158555263
A3,ARX,I,91,9,100,94907.7887625016,95311.3529513688,403.564188867153,661.814055837754,651.269155574686,10.5449002630679
A3,ARX,I,91,10,101,94811.8241386187,95264.5488274472,452.724688828559,666.407928497021,650.234377968189,16.173550528832
A3,ARX,I,91,11,102,94717.4794319641,95220.4604080951,502.980976130959,669.492728872792,647.295208634805,22.1975202379871
