Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,WIS
A4,ARX,S,301,4,305,1.45352750631936,1.45352766673049,1.17084058956804e-07
A4,ARX,S,301,5,306,1.4196203175717,1.41962083696873,4.77075002176037e-07
A4,ARX,S,301,6,307,1.38470112835164,1.3847025550981,1.38546131086054e-06
A4,ARX,S,301,7,308,1.34901781099478,1.3490212698874,3.41867175246794e-06
A4,ARX,S,301,8,309,1.31281408089058,1.31282167919847,7.55916738488639e-06
A4,ARX,S,301,9,310,1.27632682519514,1.27634223453318,1.53712847015165e-05
A4,ARX,S,301,10,311,1.2397836577668,1.23981290683285,2.9212099875907e-05
A4,ARX,S,301,11,312,1.2034007320129,1.20345324277413,5.24748763517256e-05
A4,ARX,S,301,12,313,1.1673808365351,1.16747073256446,8.98612143085682e-05
A4,ARX,S,301,13,314,1.131911791421,1.13205950196776,0.000147676784609718
A4,ARX,S,301,14,315,1.09716515595028,1.09739933319701,0.000234144515441143
A4,ARX,S,308,1,309,1.31281408089058,1.31281410432276,9.64330046803062e-09
A4,ARX,S,308,2,310,1.27632682519514,1.27632701065213,1.47835981048308e-07
A4,ARX,S,308,3,311,1.2397836577668,1.23978448095801,7.86641383233712e-07
A4,ARX,S,308,4,312,1.2034007320129,1.20340343178332,2.66427224832919e-06
A4,ARX,S,308,5,313,1.1673808365351,1.16738812378477,7.25279499496325e-06
A4,ARX,S,308,6,314,1.131911791421,1.13192891771568,1.70928584852854e-05
A4,ARX,S,308,7,315,1.09716515595028,1.09720140978605,3.62213941201925e-05
A4,ARX,S,308,8,316,1.06329525155106,1.06336593568052,7.06526505709866e-05
A4,ARX,S,308,9,317,1.03043849723047,1.03056742177975,0.000128893991520258
A4,ARX,S,308,10,318,0.99871304856474,0.998935553443212,0.000222475207614647
A4,ARX,S,308,11,319,0.968218725799696,0.968585223497623,0.000366468899632592
A4,ARX,S,308,12,320,0.939037211785664,0.939617219581519,0.000579979853110125
A4,ARX,S,308,13,321,0.911232496427786,0.912119106984743,0.000886583432044356
A4,ARX,S,308,14,322,0.88485154112303,0.886166263928291,0.00131469644792855
A4,ARX,S,315,1,316,1.06329525155106,1.06329530827588,2.56773221253405e-08
A4,ARX,S,315,2,317,1.03043849723047,1.03043893648696,4.08617070616716e-07
A4,ARX,S,315,3,318,0.99871304856474,0.998714957097014,1.87883006850366e-06
A4,ARX,S,315,4,319,0.968218725799696,0.968224854720333,6.10010422490056e-06
A4,ARX,S,315,5,320,0.939037211785664,0.93905341655818,1.61767788247027e-05
A4,ARX,S,315,6,321,0.911232496427786,0.911269819788209,3.7296034255392e-05
A4,ARX,S,315,7,322,0.88485154112303,0.884929020556888,7.74523034652536e-05
A4,ARX,S,315,8,323,0.859925134298608,0.86007338845422,0.00014822644113448
A4,ARX,S,315,9,324,0.836468907658617,0.836734520514123,0.000265585928070111
A4,ARX,S,315,10,325,0.814484482056953,0.814935159490551,0.00045065221242467
A4,ARX,S,315,11,326,0.793960711994814,0.794691141416316,0.000730405221402448
A4,ARX,S,315,12,327,0.774874998522355,0.776013304768709,0.00113828271760119
A4,ARX,S,315,13,328,0.757194641724101,0.758909304406601,0.00171463970225697
A4,ARX,S,315,14,329,0.740878205894322,0.743385285665162,0.00250705727204308
A4,ARX,S,322,1,323,0.859925134298608,0.859925183889831,2.29380915132508e-08
A4,ARX,S,322,2,324,0.836468907658617,0.83646928803021,3.5429404547433e-07
A4,ARX,S,322,3,325,0.814484482056953,0.814486121503455,1.61404163464736e-06
A4,ARX,S,322,4,326,0.793960711994814,0.793965942631658,5.20584169524879e-06
A4,ARX,S,322,5,327,0.774874998522355,0.774888760596958,1.3737760433404e-05
A4,ARX,S,322,6,328,0.757194641724101,0.75722623909488,3.15727388989933e-05
A4,ARX,S,322,7,329,0.740878205894322,0.740943719329158,6.5485083895671e-05
A4,ARX,S,322,8,330,0.72587687286279,0.726002327601891,0.000125427447236348
A4,ARX,S,322,9,331,0.712135761611693,0.712361114572563,0.000225329537782428
A4,ARX,S,322,10,332,0.699595195230141,0.699979169210029,0.000383951585613456
A4,ARX,S,322,11,333,0.688191899286525,0.688817652372163,0.000625731152732653
A4,ARX,S,322,12,334,0.677860118770424,0.678841698896167,0.000981558541768403
A4,ARX,S,322,13,335,0.668532643782675,0.670022142133158,0.00148947706314412
A4,ARX,S,322,14,336,0.660141737062666,0.662337020903585,0.00219526280955456
A4,ARX,S,329,1,330,0.72587687286279,0.725876907829634,1.40168904865728e-08
A4,ARX,S,329,2,331,0.712135761611693,0.712136035830297,2.51505935622904e-07
A4,ARX,S,329,3,332,0.699595195230141,0.699596404135234,1.18657852805503e-06
A4,ARX,S,329,4,333,0.688191899286525,0.688195845145109,3.92386587559049e-06
A4,ARX,S,329,5,334,0.677860118770424,0.677870740454897,1.05998206291332e-05
A4,ARX,S,329,6,335,0.668532643782675,0.668557597583266,2.4929432105457e-05
A4,ARX,S,329,7,336,0.660141737062666,0.660194682414933,5.29150458686511e-05
A4,ARX,S,329,8,337,0.652619959175408,0.65272368655379,0.000103704058967184
A4,ARX,S,329,9,338,0.645900889688645,0.64609138994506,0.000190479050507949
A4,ARX,S,329,10,339,0.639919744915631,0.640251270725742,0.000331504960388669
A4,ARX,S,329,11,340,0.634613894757176,0.635165009749189,0.000551094338839306
A4,ARX,S,329,12,341,0.629923282833409,0.63080383605058,0.000880532719663837
A4,ARX,S,329,13,342,0.625790755447622,0.627149662048682,0.00135888623292962
A4,ARX,S,329,14,343,0.62216230597695,0.624195963761625,0.00203363752233488
A4,ARX,S,336,1,337,0.652619959175408,0.652619990483874,1.24397569954847e-08
A4,ARX,S,336,2,338,0.645900889688645,0.645901133480046,2.22810252733765e-07
A4,ARX,S,336,3,339,0.639919744915631,0.639920811397247,1.04568389190065e-06
A4,ARX,S,336,4,340,0.634613894757176,0.63461734712519,3.43172156549813e-06
A4,ARX,S,336,5,341,0.629923282833409,0.629932496896442,9.19328659480214e-06
A4,ARX,S,336,6,342,0.625790755447622,0.625812220364295,2.14391205529802e-05
A4,ARX,S,336,7,343,0.62216230597695,0.622207482355754,4.51465602261422e-05
A4,ARX,S,336,8,344,0.618987242050321,0.619075072367167,8.78088299077059e-05
A4,ARX,S,336,9,345,0.616218283372411,0.616378415069055,0.000160111275641148
A4,ARX,S,336,10,346,0.613811598307235,0.614088339899991,0.000276721325486358
A4,ARX,S,336,11,347,0.61172678737402,0.612183775951912,0.00045696838965215
A4,ARX,S,336,12,348,0.609926821660739,0.610652339247583,0.00072549745747983
A4,ARX,S,336,13,349,0.6083779438577,0.609490783043973,0.00111281910268796
A4,ARX,S,336,14,350,0.607049539185223,0.608705287711061,0.00165572847592253
A4,ARX,S,343,1,344,0.618987242050321,0.618987256548784,5.61097522641971e-09
A4,ARX,S,343,2,345,0.616218283372411,0.616218398000464,9.45417079049419e-08
A4,ARX,S,343,3,346,0.613811598307235,0.61381210798098,4.89655387014842e-07
A4,ARX,S,343,4,347,0.61172678737402,0.611728466407661,1.65905006875362e-06
A4,ARX,S,343,5,348,0.609926821660739,0.609931389324443,4.54732503149905e-06
A4,ARX,S,343,6,349,0.6083779438577,0.608388817551239,1.08466053379207e-05
A4,ARX,S,343,7,350,0.607049539185223,0.607072992377987,2.34239639363334e-05
A4,ARX,S,343,8,351,0.605913982965154,0.605960819789019,4.68159038072994e-05
A4,ARX,S,343,9,352,0.604946470993227,0.605034311842932,8.78207206800843e-05
A4,ARX,S,343,10,353,0.604124838233415,0.60428108602222,0.000156227761236115
A4,ARX,S,343,11,354,0.603429370698877,0.603694897413353,0.000265506728734603
A4,ARX,S,343,12,355,0.602842614726408,0.603276174357688,0.000433539673302412
A4,ARX,S,343,13,356,0.602349187208828,0.603032525981834,0.000683318835228973
A4,ARX,S,343,14,357,0.601935589735858,0.602979189999644,0.00104358033939538
A4,ARX,S,350,1,351,0.605913982965154,0.605914002521932,7.27537144171484e-09
A4,ARX,S,350,2,352,0.604946470993227,0.60494662704439,1.36473255311446e-07
A4,ARX,S,350,3,353,0.604124838233415,0.604125537304822,6.79515095594916e-07
A4,ARX,S,350,4,354,0.603429370698877,0.603431686801781,2.29653055869799e-06
A4,ARX,S,350,5,355,0.602842614726408,0.6028489390737,6.30430844700023e-06
A4,ARX,S,350,6,356,0.602349187208828,0.602364263519671,1.5048805683868e-05
A4,ARX,S,350,7,357,0.601935589735858,0.601968068398902,3.24499491258802e-05
A4,ARX,S,350,8,358,0.601590029018961,0.601654661533635,6.46119580614754e-05
A4,ARX,S,350,9,359,0.601302245447017,0.601422814647389,0.000120549333225567
A4,ARX,S,350,10,360,0.6010633511424,0.601276397942075,0.000213027011198616
A4,ARX,S,350,11,361,0.600865678463854,0.601225045007317,0.000359346779818542
A4,ARX,S,350,12,362,0.600702639534245,0.601284804510448,0.000582145224399373
A4,ARX,S,350,13,363,0.600568597056949,0.601478734580244,0.000910117775923339
A4,ARX,S,350,14,364,0.600458746422175,0.601837398456645,0.00137863228447014
A4,AR,None,49,1,50,1.02620622439843,1.02614029618864,0.000115844295219277
A4,AR,None,49,2,51,1.05599359898214,1.0558992286697,0.000269811620682636
A4,AR,None,49,3,52,1.08640028564772,1.08643025756001,0.000465384597189331
A4,AR,None,49,4,53,1.11727921429272,1.11771272305876,0.000766592614637879
A4,AR,None,49,5,54,1.14846937570652,1.14972210770454,0.0011702697970407
A4,AR,None,49,6,55,1.17979692963724,1.18242985523837,0.00169570457853226
A4,AR,None,49,7,56,1.21107657987791,1.21580320395612,0.00236327851144883
A4,AR,None,49,8,57,1.24211320715162,1.24980503741836,0.00319414195985241
A4,AR,None,49,9,58,1.27270374450828,1.28439375546286,0.00452331869570656
A4,AR,None,49,10,59,1.30263927391294,1.31952316850686,0.00639569338609657
A4,AR,None,49,11,60,1.33170731687803,1.35514241812994,0.00873827069965694
A4,AR,None,49,12,61,1.35969428653969,1.3911959268882,0.0116047480400397
A4,AR,None,49,13,62,1.38638806367263,1.42762338022364,0.0153970664471154
A4,AR,None,49,14,63,1.41158065493821,1.46435974319561,0.0206081244052731
A4,AR,None,56,1,57,1.24211320715162,1.2427395648554,0.00023725041749302
A4,AR,None,56,2,58,1.27270374450828,1.27471393046859,0.000736940267025177
A4,AR,None,56,3,59,1.30263927391294,1.30692199130187,0.00167189218116395
A4,AR,None,56,4,60,1.33170731687803,1.33928044942423,0.003191488250493
A4,AR,None,56,5,61,1.35969428653969,1.37170057874112,0.00552955109913151
A4,AR,None,56,6,62,1.38638806367263,1.40408847800901,0.00896584187698538
A4,AR,None,56,7,63,1.41158065493821,1.43634539480482,0.0135133596910977
A4,AR,None,56,8,64,1.43507088831336,1.46836812180424,0.0192169774637484
A4,AR,None,56,9,65,1.45666709828001,1.50004946567176,0.0261595643659199
A4,AR,None,56,10,66,1.47618975206608,1.53127878771703,0.034410137539424
A4,AR,None,56,11,67,1.49347396809301,1.56194261424364,0.0440223020387511
A4,AR,None,56,12,68,1.50837187883864,1.5919253132296,0.055032833069273
A4,AR,None,56,13,69,1.52075479257251,1.62110983266039,0.0674604584495512
A4,AR,None,56,14,70,1.53051511183088,1.64937849451197,0.0813048855678771
A4,AR,None,63,1,64,1.43507088831336,1.43619358346596,0.000409730609646293
A4,AR,None,63,2,65,1.45666709828001,1.46012943809461,0.00145947258273716
A4,AR,None,63,3,66,1.47618975206608,1.48329046319403,0.00346837921433257
A4,AR,None,63,4,67,1.49347396809301,1.50557926118816,0.00665588783195192
A4,AR,None,63,5,68,1.50837187883864,1.52689952721989,0.0109792393743001
A4,AR,None,63,6,69,1.52075479257251,1.54715680774952,0.0164866286844475
A4,AR,None,63,7,70,1.53051511183088,1.56625927403185,0.0232070006109924
A4,AR,None,63,8,71,1.53756797100109,1.5841185007067,0.0311503151695594
A4,AR,None,63,9,72,1.54185256087665,1.60065023919082,0.0403076138613207
A4,AR,None,63,10,73,1.54333311438952,1.61577517519606,0.0506511310073064
A4,AR,None,63,11,74,1.54199953476026,1.62941965953824,0.0621345661197516
A4,AR,None,63,12,75,1.53786765484385,1.64151640145668,0.0746935734895253
A4,AR,None,63,13,76,1.53097912428407,1.65200511394289,0.0882464931877675
A4,AR,None,63,14,77,1.52140092900779,1.66083310108043,0.102695328203241
A4,AR,None,70,1,71,1.53756797100109,1.53905646841323,0.000590013764151235
A4,AR,None,70,2,72,1.54185256087665,1.54634193054979,0.0021980868623351
A4,AR,None,70,3,73,1.54333311438952,1.55233986929334,0.00513711344517804
A4,AR,None,70,4,74,1.54199953476026,1.5570242290469,0.0093168870028581
A4,AR,None,70,5,75,1.53786765484385,1.56037475184419,0.0147319411500457
A4,AR,None,70,6,76,1.53097912428407,1.56237715220196,0.0213519233040127
A4,AR,None,70,7,77,1.52140092900779,1.56302324005197,0.0291246576013513
A4,AR,None,70,8,78,1.50922455537381,1.56231099000074,0.0379782790808049
A4,AR,None,70,9,79,1.49456481872371,1.56024455594109,0.0478230551913842
A4,AR,None,70,10,80,1.47755838295945,1.55683423083577,0.0585531487471633
A4,AR,None,70,11,81,1.45836200390782,1.55209635229292,0.0700484251856796
A4,AR,None,70,12,82,1.43715053445933,1.54605315533875,0.0821763384470335
A4,AR,None,70,13,83,1.41411473365438,1.53873257454868,0.0947938958066788
A4,AR,None,70,14,84,1.38945892492818,1.53016799840854,0.107749683997621
A4,AR,None,77,1,78,1.50922455537381,1.51078954993733,0.000619840755750091
A4,AR,None,77,2,79,1.49456481872371,1.49918662985655,0.00224167171771906
A4,AR,None,77,3,80,1.47755838295945,1.48663700583102,0.00511383430871424
A4,AR,None,77,4,81,1.45836200390782,1.47318838445614,0.00905650882722827
A4,AR,None,77,5,82,1.43715053445933,1.45889100373101,0.0139837071393096
A4,AR,None,77,6,83,1.41411473365438,1.44379728539205,0.0197884081729126
A4,AR,None,77,7,84,1.38945892492818,1.42796148153194,0.0263473855110071
A4,AR,None,77,8,85,1.36339855055086,1.41143931926358,0.0335247515329503
A4,AR,None,77,9,86,1.33615766987951,1.39428764706731,0.0411748984217391
A4,AR,None,77,10,87,1.30796644838275,1.37656408628927,0.0491451122160822
A4,AR,None,77,11,88,1.27905868254927,1.35832669104283,0.0572779714247995
A4,AR,None,77,12,89,1.24966940282979,1.33963361951131,0.0654135708963487
A4,AR,None,77,13,90,1.22003259279743,1.32054281936431,0.0733915799479014
A4,AR,None,77,14,91,1.19037905788322,1.30111172968877,0.0810531299557538
A4,AR,None,84,1,85,1.36339855055086,1.36449547392305,0.000404806931759541
A4,AR,None,84,2,86,1.33615766987951,1.33929848624046,0.00122160489823043
A4,AR,None,84,3,87,1.30796644838275,1.31393983821164,0.00249037825396073
A4,AR,None,84,4,88,1.27905868254927,1.2884888858851,0.00422552942052372
A4,AR,None,84,5,89,1.24966940282979,1.26301221211686,0.0062422434686836
A4,AR,None,84,6,90,1.22003259279743,1.23757341189105,0.00856024409295517
A4,AR,None,84,7,91,1.19037905788322,1.21223291550247,0.0109111910428348
A4,AR,None,84,8,92,1.16093447151329,1.18704784878037,0.0131482698462008
A4,AR,None,84,9,93,1.13191762041928,1.16207192912991,0.0151252204034954
A4,AR,None,84,10,94,1.10353886450486,1.13735539581686,0.0166983568049032
A4,AR,None,84,11,95,1.07599882012239,1.11294497262378,0.0177282070565733
A4,AR,None,84,12,96,1.04948726913959,1.08888386076297,0.0181959248553519
A4,AR,None,84,13,97,1.0241822899436,1.06521175974183,0.0182473926211732
