Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
ARX,I,4,176,176,0.0035834877969744,0.0035834877969744,3.68225851604367e-06,0.0381396723396038,0.0382068428348635,0.0382068428348635,0.00368366211386098,0.00368366211386098,0.000409295790428997,9.31918314139743e-05,0.00301964337141165,6.13568037197808e-05,0.428977272727273,-0.358522727272727,0.478977272727273,0.00206703729657777
ARX,I,5,176,176,0.00446691505202686,0.00446691505202686,9.40913392778587e-06,0.0465370852117301,0.046644658705127,0.046644658705127,0.00467853612444717,0.00467853612444717,0.000519837347160797,0.00019003314856359,0.00364211804159713,0.000114926514705341,0.407670454545455,-0.379829545454545,0.496448863636364,0.00406531697834966
ARX,I,6,176,176,0.00528687831849155,0.00528687831849155,2.05373524108969e-05,0.0530413420952317,0.0532239424106587,0.0532239424106587,0.0056809357472271,0.0056809357472271,0.000631215083025233,0.000331212241931868,0.00413829668323489,0.00018615431029956,0.390625,-0.396875,0.508096590909091,0.00687548160809866
ARX,I,7,176,176,0.00604060677596575,0.00604060677596575,4.39985228780628e-05,0.0577131658419463,0.05802779649356,0.05802779649356,0.00671770866201384,0.00671770866201384,0.000746412073557093,0.000519873660613885,0.00450397330619022,0.000270347735604554,0.373579545454545,-0.413920454545455,0.522727272727273,0.0104399644962127
ARX,I,8,176,176,0.00677688599471452,0.00677688599471452,9.33495670625537e-05,0.0609021833475696,0.0614238205657505,0.0614238205657505,0.00781584812952939,0.00781584812952939,0.00086842756994771,0.000753869953776111,0.0047665295472075,0.000388058923783192,0.366477272727273,-0.421022727272727,0.529829545454546,0.0146037866369145
ARX,I,9,176,176,0.00765417231248994,0.00765417231248994,0.000176846592473667,0.0630684506615719,0.0639149536960389,0.0639149536960389,0.00915175976235462,0.00915175976235462,0.00101686219581718,0.00101587745102872,0.00496364802667363,0.000657784638970409,0.352272727272727,-0.435227272727273,0.535511363636364,0.0190886071659659
ARX,I,10,176,176,0.0093300266405652,0.0093300266405652,0.000276771537128736,0.0664156146123801,0.0677558910344563,0.0677558910344563,0.0113836992259324,0.0113836992259324,0.00126485546954805,0.00128975962529578,0.00512830222169769,0.00164710932402367,0.339488636363636,-0.448011363636364,0.54375,0.0237035861432789
ARX,I,11,176,176,0.012964165393238,0.012964165393238,0.000401868826032868,0.0857830420652737,0.0875495340489654,0.0875495340489654,0.0156766491678528,0.0156766491678528,0.00174184990753919,0.00159025608515857,0.00527524719181317,0.00435681220872709,0.330965909090909,-0.456534090909091,0.553977272727273,0.0285538002685347
ARX,I,12,176,176,0.0148417311097591,0.0148417311097591,0.000609948887342505,0.0972048272309192,0.0993530690224101,0.0993530690224101,0.0182807621590355,0.0182807621590355,0.00203119579544839,0.00190971951472699,0.00540450933537416,0.00549630646420959,0.321022727272727,-0.466477272727273,0.564346590909091,0.0335254388591455
ARX,I,13,176,176,0.0151009802594304,0.0151009802594304,0.000984873369902796,0.0927573014755665,0.0955356045112944,0.0955356045112944,0.0192995856804755,0.0192995856804755,0.00214439840894172,0.00225213899198875,0.00555367055680907,0.00515077230169086,0.319602272727273,-0.467897727272727,0.568181818181818,0.0386040393443617
