na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
10,7,2,0.00563792154359318,3.68001505795946e+38,282534185716.913,167833.600709748,9.20003764489865e+37,177
10,7,6,0.00568803811583715,7.03160420650909e+38,12806603817634.6,10.6308075291591,1.75790105162727e+38,178
14,1,4,0.00585188057952029,8.1842230794292e+38,0.0120583834149243,0.0114146748322617,2.0460557698573e+38,179
12,1,5,0.00443374436521425,4.41095078544211e+39,0.010577555522104,0.00866277074734829,1.10273769636053e+39,180
13,2,7,0.0022308090025635,1.09745214326222e+40,0.0959700373043379,0.0288633292416568,2.74363035815554e+39,181
11,5,6,0.00517894911085166,1.22647907300518e+40,60995408994.9586,15.2531863191343,3.06619768251295e+39,182
8,2,7,0.00203867587769707,6198553908754.83,1821595730.41143,1.39426908544133e+40,3.48567271360332e+39,183
11,6,6,0.0057998962602858,1.87822984644637e+40,794578249802.724,42.9943262842278,4.69557461611592e+39,184
12,1,7,0.00390575861945487,2.48340249890511e+40,0.0106694249985499,0.00867286819238663,6.20850624726278e+39,185
14,2,6,0.00224796267804816,2.80985696031159e+40,94.9740143582461,0.025703150843877,7.02464240077896e+39,186
12,2,2,0.00263354234219347,5.02099372852806e+40,0.0729709688777838,0.0144130887346927,1.25524843213202e+40,187
13,2,3,0.00213228824229206,5.14037366091631e+40,0.0633970786792581,0.0208753750792679,1.28509341522908e+40,188
8,2,3,0.00158263610995814,1.10788040529864e+41,3640425.31117008,0.260493252013489,2.76970101324659e+40,189
12,2,1,0.00209384976545309,1.546855562251e+41,0.0474936755844258,0.00996843424093576,3.8671389056275e+40,190
10,7,1,0.00516808002360493,3.51108438117844e+41,5.17313138889457e+21,28358852.3875486,8.77771095294611e+40,191
14,2,5,0.00196996495775853,4.58076134150857e+41,670.513649432896,0.0266259735255963,1.14519033537714e+41,192
14,2,4,0.00272602839685559,6.73056153753657e+41,4252.68437838166,0.0259445608740052,1.68264038438414e+41,193
13,2,1,0.00205692731826335,7.96087525072001e+41,0.0898138047373943,0.0158658479149565,1.99021881268e+41,194
14,1,1,0.00481854425845229,1.36854232089539e+42,0.0118131310461258,0.011311210392401,3.42135580223847e+41,195
8,7,1,0.00265607199754729,7.41369011022819e+31,8.18238060394155e+42,8.48407981696437e+29,2.04559515100413e+42,196
10,7,5,0.00579089420454161,9.02658874286989e+42,64683536025.0096,193.26367877908,2.25664718571747e+42,197
10,6,1,0.00523103436354444,1.20057623091499e+43,5.81003692665701e+17,33946.6462465431,3.00144057728748e+42,198
7,5,6,0.0041264384664907,2.6225289755028e+29,1.20177706452039e+43,1.08717460043387,3.00444266130104e+42,199
10,5,3,0.00539491165443007,3.63628867291035e+43,111856603.021268,8.495688916271,9.09072168227587e+42,200
7,2,5,0.0044641615733654,1.68233170316851e+21,7.08086118407683e+43,0.512701310597413,1.77021529601921e+43,201
11,6,1,0.00557394193141581,9.51781748287467e+43,19162615.4997912,1165.6199167904,2.37945437071867e+43,202
14,2,2,0.00203808559608245,8.92785030528604e+44,52.5129324522239,0.0191269902422945,2.23196257632151e+44,203
7,4,6,0.00433251877451305,3.70032473921706e+25,1.95576875652987e+45,0.868611971608136,4.88942189132468e+44,204
12,5,6,0.00602093875731845,7.51622216673455e+45,120205023385.044,25.6063234955154,1.87905554168364e+45,205
14,2,3,0.00201557744786512,9.12787088119104e+45,2427.48984686843,0.0247371574809973,2.28196772029776e+45,206
5,6,6,0.0019687133567262,1.1624628196689e+46,0.0170116172835329,0.0726118752727289,2.90615704917226e+45,207
0,1,2,9.25349689138101e+39,1.47099568425798e+46,815569989295.614,3.02412732832212e+39,3.67749228005101e+45,208
10,5,1,0.00531140263110636,1.9398984194978e+46,4.26803444398482e+15,719.829923346292,4.84974604874449e+45,209
12,5,4,0.00647179212993933,2.27398990674435e+46,73.2621780288745,0.157539258814984,5.68497476686089e+45,210
11,5,4,0.00523678168598354,2.36350468650964e+46,52043.7485525899,1.81646135640961,5.9087617162741e+45,211
11,6,7,0.00486019494060546,1.29080993044715e+47,1324412948141.11,16.7239241022094,3.22702482611788e+46,212
8,2,2,0.00170227808985133,1.62207568993494e+47,7384250.85356282,0.0877755392447277,4.05518922483734e+46,213
7,2,6,0.00453284624081166,1.72517327612915e+26,3.34996804739147e+47,0.677708789143035,8.37492011847869e+46,214
10,7,3,0.00549565373345663,3.73122202494237e+47,41570954.1926049,38400.9497272368,9.32805506235591e+46,215
14,2,1,0.00203937461752615,4.34890900917265e+47,0.129215813585523,0.0177883341644434,1.08722725229316e+47,216
1,6,5,4.63074895580452e+15,17437409941249.7,6.854030738832e+47,1.87623212977883e+24,1.713507684708e+47,217
12,6,3,0.00648772654785216,1.01920104792649e+48,19.7116815712634,0.222190537121123,2.54800261981623e+47,218
11,7,4,0.00531730915464078,1.59665504478597e+48,1.74127830331307e+15,166.319887557465,3.99163761196493e+47,219
13,1,4,0.00600802675222287,1.71481577234926e+48,0.0125473066189678,0.0102903596396493,4.28703943087316e+47,220
5,5,5,0.00174507291753471,2.28445752547871e+48,0.0136785255756503,0.0684617071661409,5.71114381369677e+47,221
14,1,2,0.00495982961681303,2.96888219625559e+48,0.0119964331191902,0.0116857968627516,7.42220549063898e+47,222
5,4,7,0.00128225626012439,3.29850009495322e+48,0.010225567782196,0.0444255808627227,8.24625023738305e+47,223
13,1,6,0.00520334648474643,5.46632417281839e+48,0.0122988593926153,0.0104716061958658,1.3665810432046e+48,224
3,1,3,0.00146815432482279,4.00905635353162e+49,0.00749036109174606,0.0068719326154097,1.0022640883829e+49,225
3,1,4,0.00118405198731747,4.03725597851979e+49,0.0061133624875829,0.00551362025176355,1.00931399462995e+49,226
3,1,5,0.00119965089465142,4.06578485094705e+49,0.00598339434382288,0.00552033142654612,1.01644621273676e+49,227
3,1,2,0.00148864554140688,4.0785743044114e+49,0.00678487426389156,0.00603501533566638,1.01964357610285e+49,228
3,1,6,0.00123075605222487,4.09409422186578e+49,0.00594162744336236,0.00557761094444257,1.02352355546645e+49,229
3,1,7,0.00127398090114049,4.12255132983832e+49,0.00594725957142874,0.00565051727017484,1.03063783245958e+49,230
3,1,1,0.00160987386234786,4.1581762091033e+49,0.00711125669192671,0.00591546750321656,1.03954405227583e+49,231
8,2,1,0.00174561513557593,9.02601558855898e+49,4591017376.396,0.0168863713695682,2.25650389713975e+49,232
14,5,3,0.00217654169635518,1.17705172605716e+50,355762100.490688,0.167061958762265,2.94262931514289e+49,233
