na,nb,nk,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
11,2,6,0.00165969651303371,2.09912426928822e+70,0.140551247996115+0i,0.562676467043918+0i,5.24781067322056e+69+0i,327
11,1,7,0.00171336588710614,2.21916332320055e+70,0.0137097442645718+0i,0.0102932789580278+0i,5.54790830800138e+69+0i,328
11,2,5,0.00151284318216167,2.27595526926542e+70,0.117950665367585+0i,0.546762719102477+0i,5.68988817316354e+69+0i,329
11,1,6,0.00180010135142262,2.37462393689056e+70,0.0135424919557527+0i,0.0102903021724533+0i,5.9365598422264e+69+0i,330
11,2,4,0.00147847514518138,2.46309349652173e+70,0.0919309979687393+0i,0.4197914702824+0i,6.15773374130432e+69+0i,331
11,1,5,0.00187157672461886,2.53629948175259e+70,0.0133986224161552+0i,0.0102959578721837+0i,6.34074870438148e+69+0i,332
11,5,7,0.00181602793353039,2.59923852926165e+70,3824101.31376558+0i,3.32022363092782e+20+0i,6.49809632315412e+69+0i,333
11,2,3,0.00158147896286742,2.66079841182501e+70,0.0663809635045667+0i,0.223703402252029+0i,6.65199602956252e+69+0i,334
11,1,4,0.00186389305056084,2.70407310879998e+70,0.0131932005267445+0i,0.010295235165441+0i,6.76018277199994e+69+0i,335
11,2,2,0.00158744277037482,2.86934792260121e+70,0.0422089798985162+0i,0.0711332131924751+0i,7.17336980650302e+69+0i,336
11,1,3,0.00204358227540132,2.8777891568426e+70,0.0128914711698662+0i,0.0102813105841005+0i,7.1944728921065e+69+0i,337
11,4,4,0.00149610385257387,3.00622195208282e+70,702.955634570337+0i,2.23326669303816e+51+0i,7.51555488020704e+69+0i,338
11,1,2,0.00263591394798283,3.05724766839975e+70,0.0124444723108498+0i,0.0102826772465302+0i,7.64311917099938e+69+0i,339
11,2,1,0.00163744982496902,3.08888763433113e+70,0.0138534261839886+0i,0.0127982207290516+0i,7.72221908582782e+69+0i,340
11,6,6,0.00177991613588726,3.20807049390883e+70,0.20803130272626+0i,2.34301993064125e+17+0i,8.02017623477207e+69+0i,341
11,1,1,0.0024035998552561,3.24221082372222e+70,0.012048808425753+0i,0.0102719147540378+0i,8.10552705930554e+69+0i,342
11,4,3,0.00153325454504227,3.26584152823825e+70,4527.48447430042+0i,2.22385982980968+0i,8.16460382059561e+69+0i,343
11,7,6,0.00176276935498959,3.97294402045236e+70,0.211015356859477+0i,1728.34169789542+0i,9.93236005113089e+69+0i,344
7,1,5,0.00270269488009145,1.71115200001067e+71,0.0103926318052774+0i,0.00780371955075049+0i,4.27788000002666e+70+0i,345
7,2,6,0.0033457909134553,1.04569480969223e+72,0.0910396945936491+0i,1.0302109527627+0i,2.61423702423057e+71+0i,346
14,6,1,0.00446497189286273,1.80008623305361e+43,2.06354973254165e+46+0i,1.17764747545257e+72+0i,2.94411868863142e+71+0i,347
13,5,3,0.00432311263838242,2.12304492088914e+39,5.12054405733023e+40+0i,2.12370742164569e+72+0i,5.30926855411424e+71+0i,348
14,5,1,0.00431446064090252,3.62195873520762e+38,5.97896260162692e+60+0i,5.62328444647359e+72+0i,1.40582111161989e+72+0i,349
7,7,5,0.00177239337007443,3.76176511684012e+74,0.637942842854425+0i,1.67926373079073e+16+0i,9.40441279210029e+73+0i,350
10,7,3,0.00272198973658912,1.9195203954688e+25,6.63735875361695e+74+0i,3.57410631265919e+26+0i,1.65933968840424e+74+0i,351
13,3,5,0.00406938749551241,6.00353253179585e+30,0.087521115635814+0i,1.38014581792754e+75+0i,3.45036454481885e+74+0i,352
