StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,12,27,27,0.0867245748621083,0.0867245748621083,0.0251382412031569,0.133928263748258,0.193456790878325,0.193456790878325,0.12737186792994,0.12737186792994,0.0141524297699934,0.0109484327607028,0.0234405984384687,0.0381831138929435,0.527777777777778,-0.259722222222222,0.424537037037037,0.1601053045545
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,13,27,27,0.171655537211764,0.171655537211764,0.0405698872338144,0.333326476901502,0.39950946586792,0.39950946586792,0.21557119603491,0.21557119603491,0.02395235511499,0.0109203745154116,0.0397895653461676,0.0969932422351943,0.388888888888889,-0.398611111111111,0.518981481481481,0.159694992502922
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,14,27,27,0.159399618305747,0.159399618305747,0.0631308335690906,0.319781498116036,0.381179743792487,0.381179743792487,0.202760532730926,0.202760532730926,0.0225289480812139,0.0108949137603944,0.0362464722063628,0.0897292842577762,0.398148148148148,-0.389351851851852,0.516203703703704,0.159322665063432
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,1,27,27,0.01205189456107,0.01205189456107,0.00952492110408226,0.00982107562817179,0.0333961522811974,0.0333961522811974,0.0219494832053715,0.0219494832053715,0.0024388314672635,0.00796261029603379,0.00148265976246921,0.000167793035303512,0.916666666666667,0.129166666666667,0.218055555555556,0.136930704294202
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,2,27,27,0.027826207599439,0.027826207599439,0.0173441044116759,0.0461517116863614,0.0819371697145347,0.0819371697145347,0.0453958702808001,0.0453958702808001,0.00504398558675557,0.0145409005843014,0.00736953012000324,0.000871791308378797,0.87962962962963,0.0921296296296296,0.239351851851852,0.234648041075021
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,3,27,27,0.0509683948954309,0.0509683948954309,0.0232157348963143,0.109982168869673,0.168449405798911,0.168449405798911,0.0773384632980581,0.0773384632980581,0.00859316258867312,0.0197222224220087,0.0183327843388196,0.00432022554592945,0.851851851851852,0.0643518518518518,0.260648148148148,0.314338619089707
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,4,27,27,0.0620336310478381,0.0620336310478381,0.0297996219956695,0.113480999342233,0.18834124235226,0.18834124235226,0.10589197023674,0.10589197023674,0.0117657744707489,0.0229683747402758,0.0187298280366707,0.0085696538001426,0.814814814814815,0.0273148148148148,0.273611111111111,0.362089859103537
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,5,27,27,0.0677636308656064,0.0677636308656064,0.0348318407970918,0.10807414201012,0.200044069472047,0.200044069472047,0.119853529356174,0.119853529356174,0.0133170588173527,0.0265782907235906,0.0176923620420362,0.0101759192826269,0.796296296296296,0.00879629629629629,0.281944444444444,0.421860412303019
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,6,27,27,0.141891968054264,0.141891968054264,0.0408724267924254,0.319396450644731,0.414079633728733,0.414079633728733,0.208599603644528,0.208599603644528,0.0231777337382809,0.0297467714365212,0.0299521973678434,0.0590152655116187,0.731481481481482,-0.0560185185185186,0.306018518518519,0.475423852140984
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,7,27,27,0.132029512350126,0.132029512350126,0.0450159520820589,0.298799833860201,0.397105371805603,0.397105371805603,0.192309554098709,0.192309554098709,0.0213677282331899,0.0321366031350958,0.0256155820266067,0.0529095989552342,0.796296296296296,0.00879629629629628,0.273611111111111,0.520058244989557
