DataSource,CountryCode,CountryName,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDate,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,294,2021-01-10,295,0.0818405102604369,0.0818405102604369,0.204553844053488,0.189477871763114,0.0210530968625682,0.0231251024331174,0.0376623109647513,0,0.392857142857143,-0.394642857142857,0.478571428571429,0.344105856693328,1,closed_loop_monte_carlo,ok,ok,-1083.84897442391
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,301,2021-01-17,302,0.0241896963288566,0.0241896963288566,0.0504851293004542,0.0397217793615399,0.00441353104017111,0.0189073791632493,0.000143493411546438,0.000725292713889824,0.928571428571429,0.141071428571429,0.2125,0.283387070514775,1,closed_loop_monte_carlo,ok,ok,-1104.52007987154
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,308,2021-01-24,309,0.0242169683666636,0.0242169683666636,0.0425901676856812,0.0343799495052483,0.00381999438947203,0.0202457934687058,0,0.000151180508485723,0.982142857142857,0.194642857142857,0.2125,0.29920322060557,1,closed_loop_monte_carlo,ok,ok,-1132.06816655009
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,315,2021-01-31,316,0.0295380072627136,0.0295380072627136,0.0405236787359798,0.0312079974705941,0.00346755527451045,0.0260704519882032,0,0,1,0.2125,0.2125,0.385072377600624,1,closed_loop_monte_carlo,ok,ok,-1157.68246737254
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,322,2021-02-07,323,0.0350007473691799,0.0350007473691799,0.0964001539950215,0.0837044790220185,0.00930049766911317,0.024393404535361,0,0.00130684516470579,0.892857142857143,0.105357142857143,0.2125,0.353155288220358,1,closed_loop_monte_carlo,ok,ok,-1185.11779299331
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,329,2021-02-14,330,0.0301058806814313,0.0301058806814313,0.0509058943154371,0.0382111234824961,0.00424568038694402,0.0258602002944873,0,0,1,0.2125,0.2125,0.395715131170426,1,closed_loop_monte_carlo,ok,ok,-1216.55413342839
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,336,2021-02-21,337,0.027823935617838,0.027823935617838,0.0381662420858435,0.0361239473431999,0.00401377192702222,0.0236368917347753,0,0.000173271956040474,0.982142857142857,0.194642857142857,0.2125,0.347535352145506,1,closed_loop_monte_carlo,ok,ok,-1249.5792030383
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,343,2021-02-28,344,0.0310994615001345,0.0310994615001345,0.0484620954674241,0.0426155293496307,0.00473505881662564,0.0262079753181272,0.000156427365381661,0,0.982142857142857,0.194642857142857,0.2125,0.382562277337335,1,closed_loop_monte_carlo,ok,ok,-1281.40128235938
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,350,2021-03-07,351,0.0303940689326167,0.0303940689326167,0.0744805174369147,0.0610203971540466,0.0067800441282274,0.0216751357820526,6.56323430407279e-05,0.00187325667929593,0.892857142857143,0.105357142857143,0.2125,0.325669022521952,1,closed_loop_monte_carlo,ok,ok,-1313.40656655145
WHO-derived COVID-19 daily cases,SE,Sweden,real,Sweden,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partC/forecasts/partC_forecast_real_ARX_I.mat,forecast_results,357,2021-03-14,358,0.0267268506050889,0.0267268506050889,0.0564921261375392,0.0485798104722866,0.00539775671914295,0.0206406096352343,8.41478963579834e-05,0.000604336354353632,0.946428571428571,0.158928571428571,0.2125,0.317527577724069,1,closed_loop_monte_carlo,ok,ok,-1344.87101588306
