Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,LeadTime,TargetDate,TargetRtEstimated,MedianForecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
"AR","None","partA_fixed_fit","5",20,"13-May-2021",11,"24-May-2021",0.19832960949923,0.881410245325966,0.683080635826736,0.683080635826736,0.466599155041458,0.346537141792304,0.25,1.72459750920776
"AR","None","partA_fixed_fit","5",20,"13-May-2021",12,"25-May-2021",0.416114894595024,0.950225952625096,0.534111058030072,0.534111058030072,0.285274622310003,0.247490210034892,0.5,1.46665375436953
"AR","None","partA_fixed_fit","5",20,"13-May-2021",13,"26-May-2021",1.09106608835422,1.08324662344132,-0.00781946491289953,0.00781946491289953,6.11440315240669e-05,0.093533979124718,1,1.32874800465318
"AR","None","partA_fixed_fit","5",20,"13-May-2021",14,"27-May-2021",0.636237583858345,1.13772468201007,0.501487098151728,0.501487098151728,0.251489309612641,0.188387053112887,0.75,1.41784280246571
"AR","None","partA_fixed_fit","5",21,"20-May-2021",1,"21-May-2021",0.962552952029666,1.19894597678839,0.236393024758721,0.236393024758721,0.0558816621545775,0.110459707692532,1,1.25276872757566
"AR","None","partA_fixed_fit","5",21,"20-May-2021",2,"22-May-2021",0.703335697495307,1.20571489068574,0.502379193190434,0.502379193190434,0.252384853750671,0.196676049126626,0.75,1.41481118402944
"AR","None","partA_fixed_fit","5",21,"20-May-2021",3,"23-May-2021",0.585472757122559,0.961518409022216,0.376045651899657,0.376045651899657,0.141410332312638,0.153076233143602,0.75,1.34347978110445
"AR","None","partA_fixed_fit","5",21,"20-May-2021",4,"24-May-2021",0.19832960949923,0.929766614622161,0.731437005122931,0.731437005122931,0.535000092463203,0.427314975149272,0,1.49070173394528
"AR","None","partA_fixed_fit","5",21,"20-May-2021",5,"25-May-2021",0.416114894595024,1.00310441959397,0.586989524998947,0.586989524998947,0.34455670245849,0.215183372168923,0.5,1.46209189338467
"AR","None","partA_fixed_fit","5",21,"20-May-2021",6,"26-May-2021",1.09106608835422,0.958560981090864,-0.132505107263355,0.132505107263355,0.0175576034508732,0.10355534351002,1,1.30372680887284
"AR","None","partA_fixed_fit","5",21,"20-May-2021",7,"27-May-2021",0.636237583858345,1.06293935955028,0.426701775691939,0.426701775691939,0.182074405378654,0.155020457044636,0.75,1.14781019345257
"AR","None","partA_fixed_fit","5",21,"20-May-2021",8,"28-May-2021",0.0440664227816585,1.12630165035142,1.08223522756976,1.08223522756976,1.17123308779297,0.550377551239644,0,1.68005620537706
"AR","None","partA_fixed_fit","5",21,"20-May-2021",9,"29-May-2021",0.155287958567339,1.09672714501981,0.941439186452471,0.941439186452471,0.886307741788291,0.51994885900098,0,1.84498327455457
"AR","None","partA_fixed_fit","5",21,"20-May-2021",10,"30-May-2021",0.17399092298677,1.01033916162834,0.836348238641565,0.836348238641565,0.699478376278849,0.480134813374735,0,1.51798663053775
"AR","None","partA_fixed_fit","5",21,"20-May-2021",11,"31-May-2021",1.45230594205109,0.95675747694942,-0.49554846510167,0.49554846510167,0.245568281264621,0.170178174458357,0.75,1.44028179714715
"AR","None","partA_fixed_fit","5",21,"20-May-2021",12,"01-Jun-2021",1.67125406613729,0.939489580728168,-0.731764485409124,0.731764485409124,0.53547926210608,0.3045696220247,0.5,1.77441694700404
"AR","None","partA_fixed_fit","5",21,"20-May-2021",13,"02-Jun-2021",2.49399477138233,1.08704321426153,-1.4069515571208,1.4069515571208,1.97951268408463,0.701025196810945,0.5,1.450201185529
"AR","None","partA_fixed_fit","5",21,"20-May-2021",14,"03-Jun-2021",1.09859314900542,1.14120866136159,0.0426155123561676,0.0426155123561676,0.00181608189337867,0.118070503885686,1,1.75205706195254
"AR","None","partA_fixed_fit","5",22,"27-May-2021",1,"28-May-2021",0.0440664227816585,1.14137723703416,1.09731081425251,1.09731081425251,1.2040910230755,0.704700490982128,0,1.04276164572683
"AR","None","partA_fixed_fit","5",22,"27-May-2021",2,"29-May-2021",0.155287958567339,1.32991514401776,1.17462718545042,1.17462718545042,1.37974902479918,0.694140378626149,0,1.73667837580006
"AR","None","partA_fixed_fit","5",22,"27-May-2021",3,"30-May-2021",0.17399092298677,1.12809272742439,0.954101804437623,0.954101804437623,0.910310253231129,0.471651391183851,0.25,1.32931276221822
"AR","None","partA_fixed_fit","5",22,"27-May-2021",4,"31-May-2021",1.45230594205109,1.0911302258835,-0.361175716167587,0.361175716167587,0.130447897949169,0.143560319905652,0.75,1.3400415077408
"AR","None","partA_fixed_fit","5",22,"27-May-2021",5,"01-Jun-2021",1.67125406613729,0.90558020070527,-0.765673865432021,0.765673865432021,0.586256468205613,0.294413298749193,0.5,1.25473154124289
"AR","None","partA_fixed_fit","5",22,"27-May-2021",6,"02-Jun-2021",2.49399477138233,0.949491728999612,-1.54450304238272,1.54450304238272,2.38548964792947,0.929623233227594,0,1.32878171651917
"AR","None","partA_fixed_fit","5",22,"27-May-2021",7,"03-Jun-2021",1.09859314900542,1.09860590669565,1.27576902271276e-05,1.27576902271276e-05,1.62758659931347e-10,0.111563499009599,1,1.78904331268676
"AR","None","partA_fixed_fit","5",22,"27-May-2021",8,"04-Jun-2021",0.756253176746672,1.17226052071915,0.416007343972478,0.416007343972478,0.173062110239036,0.17681161550264,0.75,1.70490080352932
"AR","None","partA_fixed_fit","5",22,"27-May-2021",9,"05-Jun-2021",0.649761624570194,1.1358595922247,0.486097967654505,0.486097967654505,0.23629123415784,0.199242670203908,0.5,1.68496566731691
"AR","None","partA_fixed_fit","5",22,"27-May-2021",10,"06-Jun-2021",0.501410168222651,1.04670905944618,0.545298891223527,0.545298891223527,0.297350880769608,0.258996393557829,0.5,1.55371973043625
"AR","None","partA_fixed_fit","5",22,"27-May-2021",11,"07-Jun-2021",0.155119299781206,0.941751627787107,0.786632328005901,0.786632328005901,0.618790419463984,0.429138888171338,0,1.61165541926364
"AR","None","partA_fixed_fit","5",22,"27-May-2021",12,"08-Jun-2021",0.380415426920092,0.933970859127413,0.55355543220732,0.55355543220732,0.306423616526233,0.23018662114207,0.25,1.30950408844268
"AR","None","partA_fixed_fit","5",22,"27-May-2021",13,"09-Jun-2021",1.06706203904227,0.939211857888281,-0.127850181153992,0.127850181153992,0.0163456688211085,0.105564335945639,1,1.367752096401
"AR","None","partA_fixed_fit","5",22,"27-May-2021",14,"10-Jun-2021",0.850419755625027,1.06932695955965,0.218907203934626,0.218907203934626,0.0479203639344759,0.148974016829363,1,1.93559671635853
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",1,"01-Jan-2021",1.22571140718375,1.25823669058961,0.0325252834058609,0.0325252834058609,0.00105789406063157,0.0930113597190924,1,1.30359845142938
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",2,"02-Jan-2021",0.409173979230357,0.81871635325187,0.409542374021513,0.409542374021513,0.167724956119177,0.166282877409118,0.5,0.972836888799404
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",3,"03-Jan-2021",0.37838073275964,0.608886007505717,0.230505274746078,0.230505274746078,0.0531326816857647,0.10169119722313,0.75,0.853094149538576
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",4,"04-Jan-2021",0.431830084052681,0.684478999254423,0.252648915201742,0.252648915201742,0.063831474352617,0.121068818860814,0.75,0.992396391756271
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",5,"05-Jan-2021",1.21336081445493,0.943208472987686,-0.270152341467245,0.270152341467245,0.0729822876002349,0.115773486602581,1,1.27495866304089
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",6,"06-Jan-2021",1.4412312336395,0.998591868728077,-0.442639364911421,0.442639364911421,0.195929607369186,0.180858230002618,0.75,1.59350281244923
"ARX","I","partA_online_fit","[4 1 1]",1,"31-Dec-2020",7,"07-Jan-2021",0.973403379483386,1.11674744610006,0.143344066616678,0.143344066616678,0.0205475214342066,0.131402665529405,1,1.6284280716245
