Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,Alpha,NominalCoverage,EmpiricalCoverage,CoverageError,MeanIntervalWidth
"AR","None","local_online_fit","7",22,"27-May-2021",0.2,0.8,0.357142857142857,-0.442857142857143,0.53288543317008
"AR","None","local_online_fit","7",22,"27-May-2021",0.5,0.5,0.142857142857143,-0.357142857142857,0.268091336609795
"AR","None","partA_fixed_fit","5",1,"31-Dec-2020",0.05,0.95,1,0.05,2.00008496585962
"AR","None","partA_fixed_fit","5",1,"31-Dec-2020",0.1,0.9,1,0.1,1.71636528587745
"AR","None","partA_fixed_fit","5",1,"31-Dec-2020",0.2,0.8,0.857142857142857,0.0571428571428571,1.27728709244633
"AR","None","partA_fixed_fit","5",1,"31-Dec-2020",0.5,0.5,0.642857142857143,0.142857142857143,0.645642136859813
"AR","None","partA_fixed_fit","5",2,"07-Jan-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.24224684064088
"AR","None","partA_fixed_fit","5",2,"07-Jan-2021",0.1,0.9,0.785714285714286,-0.114285714285714,1.77895453370312
"AR","None","partA_fixed_fit","5",2,"07-Jan-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.32519527056771
"AR","None","partA_fixed_fit","5",2,"07-Jan-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.664769213386186
"AR","None","partA_fixed_fit","5",3,"14-Jan-2021",0.05,0.95,0.857142857142857,-0.0928571428571429,2.14679290902757
"AR","None","partA_fixed_fit","5",3,"14-Jan-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.78642497892592
"AR","None","partA_fixed_fit","5",3,"14-Jan-2021",0.2,0.8,0.714285714285714,-0.0857142857142857,1.2985262801882
"AR","None","partA_fixed_fit","5",3,"14-Jan-2021",0.5,0.5,0.428571428571429,-0.0714285714285715,0.688643080035753
"AR","None","partA_fixed_fit","5",4,"21-Jan-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.02111176586823
"AR","None","partA_fixed_fit","5",4,"21-Jan-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.71472930177981
"AR","None","partA_fixed_fit","5",4,"21-Jan-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.29581305217713
"AR","None","partA_fixed_fit","5",4,"21-Jan-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.676930765562195
"AR","None","partA_fixed_fit","5",5,"28-Jan-2021",0.05,0.95,1,0.05,1.99097194079065
"AR","None","partA_fixed_fit","5",5,"28-Jan-2021",0.1,0.9,1,0.1,1.73752133449021
"AR","None","partA_fixed_fit","5",5,"28-Jan-2021",0.2,0.8,0.714285714285714,-0.0857142857142857,1.32633535279586
"AR","None","partA_fixed_fit","5",5,"28-Jan-2021",0.5,0.5,0.5,0,0.671061775675849
"AR","None","partA_fixed_fit","5",6,"04-Feb-2021",0.05,0.95,1,0.05,2.5498685767414
"AR","None","partA_fixed_fit","5",6,"04-Feb-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.93587724181983
"AR","None","partA_fixed_fit","5",6,"04-Feb-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.42350779378187
"AR","None","partA_fixed_fit","5",6,"04-Feb-2021",0.5,0.5,0.5,0,0.716765337154441
"AR","None","partA_fixed_fit","5",7,"11-Feb-2021",0.05,0.95,1,0.05,2.3232038241233
"AR","None","partA_fixed_fit","5",7,"11-Feb-2021",0.1,0.9,1,0.1,1.97727300272167
"AR","None","partA_fixed_fit","5",7,"11-Feb-2021",0.2,0.8,1,0.2,1.48016762952047
"AR","None","partA_fixed_fit","5",7,"11-Feb-2021",0.5,0.5,0.785714285714286,0.285714285714286,0.776936622652306
"AR","None","partA_fixed_fit","5",8,"18-Feb-2021",0.05,0.95,1,0.05,2.00070844544725
"AR","None","partA_fixed_fit","5",8,"18-Feb-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.71723205595424
"AR","None","partA_fixed_fit","5",8,"18-Feb-2021",0.2,0.8,0.928571428571429,0.128571428571429,1.30067910436062
"AR","None","partA_fixed_fit","5",8,"18-Feb-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.656920299647296
"AR","None","partA_fixed_fit","5",9,"25-Feb-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.16266496526702
"AR","None","partA_fixed_fit","5",9,"25-Feb-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.76779606118884
"AR","None","partA_fixed_fit","5",9,"25-Feb-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.3574487440508
"AR","None","partA_fixed_fit","5",9,"25-Feb-2021",0.5,0.5,0.5,0,0.666618406523419
"AR","None","partA_fixed_fit","5",10,"04-Mar-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.40388230319081
"AR","None","partA_fixed_fit","5",10,"04-Mar-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.93421677096467
"AR","None","partA_fixed_fit","5",10,"04-Mar-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.36760150496327
"AR","None","partA_fixed_fit","5",10,"04-Mar-2021",0.5,0.5,0.5,0,0.713246764305329
"AR","None","partA_fixed_fit","5",11,"11-Mar-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.05325777264712
"AR","None","partA_fixed_fit","5",11,"11-Mar-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.72222091152084
"AR","None","partA_fixed_fit","5",11,"11-Mar-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.33673617023833
"AR","None","partA_fixed_fit","5",11,"11-Mar-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.689166621864042
"AR","None","partA_fixed_fit","5",12,"18-Mar-2021",0.05,0.95,1,0.05,2.15345614166132
"AR","None","partA_fixed_fit","5",12,"18-Mar-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.80366901124317
"AR","None","partA_fixed_fit","5",12,"18-Mar-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.37768788860955
"AR","None","partA_fixed_fit","5",12,"18-Mar-2021",0.5,0.5,0.5,0,0.684906473665542
"AR","None","partA_fixed_fit","5",13,"25-Mar-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.26740132089569
"AR","None","partA_fixed_fit","5",13,"25-Mar-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.855970862992
"AR","None","partA_fixed_fit","5",13,"25-Mar-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.39480628657246
"AR","None","partA_fixed_fit","5",13,"25-Mar-2021",0.5,0.5,0.428571428571429,-0.0714285714285715,0.694379933149176
"AR","None","partA_fixed_fit","5",14,"01-Apr-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.33124010620593
"AR","None","partA_fixed_fit","5",14,"01-Apr-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.9841913396606
"AR","None","partA_fixed_fit","5",14,"01-Apr-2021",0.2,0.8,0.928571428571429,0.128571428571429,1.454800684659
"AR","None","partA_fixed_fit","5",14,"01-Apr-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.695567337161385
"AR","None","partA_fixed_fit","5",15,"08-Apr-2021",0.05,0.95,1,0.05,2.40908196592446
"AR","None","partA_fixed_fit","5",15,"08-Apr-2021",0.1,0.9,1,0.1,2.01316802523271
"AR","None","partA_fixed_fit","5",15,"08-Apr-2021",0.2,0.8,1,0.2,1.50393538031599
