Model,ExoMode,Strategy,LeadTime,NumForecasts,MeanWIS,MedianWIS,MeanAbsoluteError,MeanSquaredError,RMSE,MeanError,MeanCoverage,MeanIntervalWidth
"ARX","I","partA_fixed_fit",3,22,0.126629332749854,0.0856503810854906,0.209646686459845,0.107733857088285,0.32822836118819,0.138472734531427,0.875,1.08661745305763
"ARX","I","partA_fixed_fit",4,22,0.193026246572039,0.182559995087129,0.432059082967414,0.201764974606317,0.449182562669475,0.418157829799343,0.375,1.05661251028321
"ARX","I","partA_fixed_fit",5,22,0.132616467765788,0.125211201214018,0.3049667758714,0.110198000915972,0.331960842443761,0.217791149939831,0.795454545454545,1.16239531023263
"ARX","I","partA_fixed_fit",6,22,0.215016468019606,0.162432474601836,0.466630555078213,0.346284975461491,0.588459833345906,-0.464016461250026,0.806818181818182,1.52481649455098
"ARX","I","partA_fixed_fit",7,22,0.16942476234333,0.161940454272543,0.36252250169797,0.160520740547781,0.400650396914543,-0.304103212366214,0.920454545454545,1.76289915841754
"ARX","I","partA_fixed_fit",8,22,0.173127628658532,0.144847105235956,0.271530705193602,0.111056903967387,0.333252012698178,-0.0769678658206916,0.920454545454545,1.86183517824624
"ARX","I","partA_fixed_fit",9,22,0.159492594633729,0.13804170496706,0.218927229435963,0.0999160640152551,0.316095023711629,0.0116016160974306,0.886363636363636,1.69234183760419
"ARX","I","partA_fixed_fit",10,22,0.156908126943138,0.119650862329709,0.24405721395756,0.127810682484703,0.357506199225555,0.237095988697943,0.886363636363636,1.51898627071423
"ARX","I","partA_fixed_fit",11,22,0.28606567935175,0.270966190075685,0.627683779106353,0.415861339043118,0.64487311856141,0.588593327736667,0.272727272727273,1.41838041943455
"ARX","I","partA_fixed_fit",12,22,0.188421589678036,0.186341042258547,0.451439518859733,0.233823388618385,0.483552880891413,0.36729952761378,0.715909090909091,1.48761550186369
"ARX","I","partA_fixed_fit",13,22,0.208820504697771,0.167426936794085,0.439178441731077,0.325093608954467,0.570169807122814,-0.437448323344113,0.852272727272727,1.62685462743719
"ARX","I","partA_fixed_fit",14,22,0.178177130399653,0.179420069994495,0.444502876038418,0.232376659341455,0.482054622777809,-0.394632560894893,0.840909090909091,1.6253438164837
