Case,Model,ExoMode,HorizonIdx,MeanWIS,MeanAbsoluteError,MeanSquaredError,RMSE,MeanCoverage,MeanIntervalWidth
process_noise,ARX,I,7,0.00544906289074316,0.00792478670063136,0.00029748339551026,0.0172477069638332,0.296275252525252,0.0105255084341057
process_noise,ARX,I,8,0.00718490635836538,0.0102690359344975,0.000508611825822486,0.0225524239456092,0.289125631313131,0.0126391743260696
process_noise,ARX,I,9,0.00916861177156016,0.0129253229117756,0.000810572344126264,0.0284705522272798,0.273910984848485,0.0148396550304072
process_noise,ARX,I,10,0.011386805939207,0.0158599413556799,0.00120758785376517,0.0347503648004617,0.268576388888889,0.0171557550034772
process_noise,ARX,I,11,0.0138290611235409,0.0190754530119114,0.00170301432490385,0.0412675941254618,0.257654671717172,0.0195602394005034
process_noise,ARX,I,12,0.0164902672617471,0.0225837972277407,0.00229247381514033,0.0478797850364883,0.25061553030303,0.0220636477045921
process_noise,ARX,I,13,0.0193268297776786,0.0262371988987055,0.00295856355034787,0.0543926791981041,0.243623737373737,0.0246690133792534
process_noise,ARX,I,14,0.0223493194932619,0.0301378022285613,0.0036957101708592,0.0607923528978703,0.235006313131313,0.0273530455750633
structural_mismatch,AR,None,1,0.000133450218755773,0.000247444628161393,3.4111313102156e-07,0.000584048911497624,0.582386363636364,0.000889254573282814
structural_mismatch,AR,None,2,0.000402405951152257,0.000725206314717043,2.52208857344264e-06,0.00158810848919167,0.509943181818182,0.00215663930453266
structural_mismatch,AR,None,3,0.000808704876435672,0.00142600632259463,8.0221748638622e-06,0.00283234441123642,0.478693181818182,0.00365334147373391
structural_mismatch,AR,None,4,0.00133460634481358,0.00233115123243078,1.86938776300239e-05,0.00432364170925667,0.448863636363636,0.00538856091193049
structural_mismatch,AR,None,5,0.00198863117486024,0.00343886656540811,3.59563962445939e-05,0.0059963652527672,0.430397727272727,0.00729547269069485
structural_mismatch,AR,None,6,0.00274185777087913,0.00474691611738041,6.04686698026676e-05,0.00777616035088447,0.420454545454545,0.00937079055304307
structural_mismatch,AR,None,7,0.00359377352997148,0.00617345021956579,9.20747126963142e-05,0.00959555692476024,0.404829545454545,0.0115763674514971
structural_mismatch,AR,None,8,0.00454171306191286,0.00778603088747392,0.000138233324924653,0.0117572668985888,0.393465909090909,0.0139330198454261
structural_mismatch,AR,None,9,0.00560703139687699,0.00957544816751851,0.000199312163997937,0.014117796003553,0.375,0.0163836982995253
structural_mismatch,AR,None,10,0.00678386563023506,0.0115358073847404,0.000279162926170285,0.016708169444026,0.357954545454545,0.0189340705052693
structural_mismatch,AR,None,11,0.00809972721507134,0.013543753667041,0.000379316431924356,0.0194760476463875,0.349431818181818,0.021580812565741
structural_mismatch,AR,None,12,0.00952242194947903,0.0157585464971652,0.000513532822865389,0.0226612626052784,0.342329545454545,0.0243703193188144
structural_mismatch,AR,None,13,0.0110329413183119,0.0180287559085901,0.000674472007497177,0.0259705989052462,0.34375,0.0272415841296387
structural_mismatch,AR,None,14,0.0126704158494156,0.0204328373378274,0.000877355964227425,0.0296201952091377,0.330965909090909,0.030134171622669
structural_mismatch,ARX,I,1,0.00015103012007308,0.000232265915151244,4.40174719867022e-07,0.000663456645054537,0.375,0.00100926162759018
structural_mismatch,ARX,I,2,0.000468011734051152,0.00072621245572474,3.99509799842606e-06,0.00199877412391347,0.400568181818182,0.00251850907749226
structural_mismatch,ARX,I,3,0.00098298884936706,0.00152204934582392,1.74926226739974e-05,0.004182418280612,0.40625,0.00429446564564631
structural_mismatch,ARX,I,4,0.00172597312994118,0.00262127570868583,5.36143198652651e-05,0.00732217999404993,0.392045454545455,0.00635785882727045
structural_mismatch,ARX,I,5,0.00270205390914816,0.00403779354690332,0.000133029661879231,0.0115338485285368,0.400568181818182,0.0086137695390313
structural_mismatch,ARX,I,6,0.00389055557045043,0.00582306856303413,0.000284122829248919,0.0168559434398944,0.397727272727273,0.0110762292338628
structural_mismatch,ARX,I,7,0.0052912494287877,0.00786976916034343,0.000541067155239016,0.0232608502690468,0.383522727272727,0.0137307633618091
structural_mismatch,ARX,I,8,0.0069061753216482,0.0102127485826409,0.000938346339303211,0.0306324393299523,0.369318181818182,0.0165901830175047
structural_mismatch,ARX,I,9,0.00876131851748113,0.012910356363027,0.00151477708045733,0.0389201372101555,0.366477272727273,0.0195772769382333
structural_mismatch,ARX,I,10,0.0107905237447437,0.0158432942378837,0.00228821667436739,0.0478353078213927,0.363636363636364,0.0227144234455101
structural_mismatch,ARX,I,11,0.0129754924426111,0.0190648006048555,0.00327174409729301,0.0571991616834811,0.340909090909091,0.0260407229541932
structural_mismatch,ARX,I,12,0.0152930470145923,0.0224459370425251,0.00446501743549851,0.0668207859539119,0.335227272727273,0.0296040676849498
structural_mismatch,ARX,I,13,0.0176969396054107,0.0259079246311636,0.00587828655164287,0.0766699846852918,0.335227272727273,0.0333961030600275
structural_mismatch,ARX,I,14,0.0202493385947587,0.0297193528113354,0.00758337450462615,0.087082572910004,0.323863636363636,0.0373699453494369
