Case,Scenario,Replicate,Model,ExoMode,MeanWIS,MAE,RMSE,MeanCoverage,MeanIntervalWidth,NumWindows,NumHorizonRows
process_noise,A3,rep008,ARX,I,0.00862590118573869,0.0115332278282173,0.0173474614875298,0.279220779220779,0.00865943861027675,44,616
process_noise,A3,rep009,ARX,I,0.00822843634889583,0.0112561986857441,0.0167738986970061,0.272321428571429,0.00883343153752504,44,616
process_noise,A3,rep010,ARX,I,0.0084187425492369,0.0112239453336364,0.0170185155042557,0.273944805194805,0.00869270989260448,44,616
process_noise,A4,rep001,ARX,I,0.0107169546550932,0.0138504983880086,0.0208246849357728,0.248376623376623,0.00959045180116217,44,616
process_noise,A4,rep002,ARX,I,0.010736086719468,0.013989063560956,0.020891417718297,0.234983766233766,0.00962421726697184,44,616
process_noise,A4,rep003,ARX,I,0.01086143760497,0.0140417951130285,0.0211405810208842,0.241883116883117,0.00971649450565895,44,616
process_noise,A4,rep004,ARX,I,0.0107030510042382,0.0140367535764154,0.0210551897916306,0.230925324675325,0.00960480701627025,44,616
process_noise,A4,rep005,ARX,I,0.0107687953548817,0.0139333505896563,0.0210446328101588,0.238230519480519,0.00948113100657389,44,616
process_noise,A4,rep006,ARX,I,0.010568037707344,0.0137262683621021,0.0207137734167401,0.243506493506494,0.00976289032343511,44,616
process_noise,A4,rep007,ARX,I,0.0108130345784415,0.0140838891133609,0.0213453898420003,0.243506493506494,0.00970701013751083,44,616
process_noise,A4,rep008,ARX,I,0.0108061120302379,0.0139005457656127,0.0210176399745654,0.248376623376623,0.00961246174581788,44,616
process_noise,A4,rep009,ARX,I,0.0109872289934391,0.0140431455830768,0.0211221367124223,0.237012987012987,0.00951594860207437,44,616
process_noise,A4,rep010,ARX,I,0.0107503601103401,0.0140623246563014,0.0211079581674865,0.234983766233766,0.00978222542822195,44,616
structural_mismatch,A2,rep001,ARX,I,0.0157558012621993,0.0229801093441394,0.0621898858093054,0.607954545454545,0.0340531448911354,44,616
