Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,WIS
A3,SSEST,S,84,10,94,1.18541690390552,1.6721077692657,0.397801726322821
A3,SSEST,S,84,11,95,1.1529646172836,1.69032719572299,0.442116963186966
A3,SSEST,S,84,12,96,1.12166534904193,1.70870904915624,0.485462332052747
A3,SSEST,S,84,13,97,1.09172160338137,1.72725133185864,0.527610972798391
A3,SSEST,S,84,14,98,1.06332112500423,1.74595178269433,0.568354982570148
A3,SSEST,S,91,1,92,1.2529015078321,1.27632889769934,0.0101370017656575
A3,SSEST,S,91,2,93,1.2188057011947,1.28500133704503,0.0373626036744987
A3,SSEST,S,91,3,94,1.18541690390552,1.29367507498132,0.0697931008590459
A3,SSEST,S,91,4,95,1.1529646172836,1.30234913541789,0.10311734170804
A3,SSEST,S,91,5,96,1.12166534904193,1.31102252130376,0.136285672500321
A3,SSEST,S,91,6,97,1.09172160338137,1.31969421536671,0.168738785808282
A3,SSEST,S,91,7,98,1.06332112500423,1.32836318126971,0.200097424236236
A3,SSEST,S,91,8,99,1.03663638049503,1.33702836209063,0.230072358216887
A3,SSEST,S,91,9,100,1.01182425521157,1.34568868073436,0.258429322718244
A3,SSEST,S,91,10,101,0.989025939465599,1.3543430418315,0.284972710836752
A3,SSEST,S,91,11,102,0.968366974448647,1.36299033092759,0.309536961453162
A3,SSEST,S,91,12,103,0.949957426141047,1.37162941464503,0.331981524221872
A3,SSEST,S,91,13,104,0.933892154364197,1.38025914181637,0.352187649293085
A3,SSEST,S,91,14,105,0.920251144197055,1.38887834475177,0.370056183402807
A3,SSEST,S,98,1,99,1.03663638049503,1.05296243237244,0.00645696922784832
A3,SSEST,S,98,2,100,1.01182425521157,1.05836463012255,0.0226611893297051
A3,SSEST,S,98,3,101,0.989025939465599,1.06374280475079,0.0428851033402926
A3,SSEST,S,98,4,102,0.968366974448647,1.06909680013551,0.0625585399312055
A3,SSEST,S,98,5,103,0.949957426141047,1.07442646733446,0.0808479960269373
A3,SSEST,S,98,6,104,0.933892154364197,1.07973166445829,0.097350287518882
A3,SSEST,S,98,7,105,0.920251144197055,1.08501225650932,0.111820328800578
A3,SSEST,S,98,8,106,0.909099868145179,1.09026811548236,0.124092197488459
A3,SSEST,S,98,9,107,0.900489649660571,1.09549912028187,0.13404817106818
A3,SSEST,S,98,10,108,0.894458001771371,1.10070515648933,0.141604198794934
A3,SSEST,S,98,11,109,0.891028918575113,1.10588611641473,0.146702212724039
A3,SSEST,S,98,12,110,0.890213102038943,1.11104189905243,0.149305702478629
A3,SSEST,S,98,13,111,0.892008111778536,1.11617240994494,0.149397023436099
A3,SSEST,S,98,14,112,0.896398431084497,1.12127756102295,0.146975710989061
A3,SSEST,S,105,1,106,0.909099868145179,0.91630678070562,0.00278809372729868
A3,SSEST,S,105,2,107,0.900489649660571,0.920314904210165,0.00746175702466699
A3,SSEST,S,105,3,108,0.894458001771371,0.924316232339137,0.0111107973860833
A3,SSEST,S,105,4,109,0.891028918575113,0.928310780145977,0.01383545283624
A3,SSEST,S,105,5,110,0.890213102038943,0.932298562278187,0.0156569276191966
A3,SSEST,S,105,6,111,0.892008111778536,0.936279593114703,0.0165865603480478
A3,SSEST,S,105,7,112,0.896398431084497,0.940253887016645,0.016635147076498
A3,SSEST,S,105,8,113,0.903355448251897,0.944221457820651,0.0158156402629401
A3,SSEST,S,105,9,114,0.912837358062052,0.948182318832739,0.0142966631751277
A3,SSEST,S,105,10,115,0.924788993882884,0.952136483280591,0.0140741053323795
A3,SSEST,S,105,11,116,0.939141606117093,0.956083963921788,0.0135576073951802
A3,SSEST,S,105,12,117,0.955812607467806,0.960024772908888,0.0127604617676181
A3,SSEST,S,105,13,118,0.974705309554556,0.963958921935348,0.014084696308138
A3,SSEST,S,105,14,119,0.995708678662191,0.967886422483706,0.0165636548636933
A3,SSEST,S,112,1,113,0.903355448251897,0.900987814505978,0.00205492090032356
A3,SSEST,S,112,2,114,0.912837358062052,0.904624630784955,0.00478379426811601
A3,SSEST,S,112,3,115,0.924788993882884,0.908255312454251,0.00703286747984716
A3,SSEST,S,112,4,116,0.939141606117093,0.911879878156582,0.0103569194998312
A3,SSEST,S,112,5,117,0.955812607467806,0.915498345481245,0.0148862426311956
A3,SSEST,S,112,6,118,0.974705309554556,0.91911073113765,0.0201385032655047
A3,SSEST,S,112,7,119,0.995708678662191,0.922717051228215,0.0287134545897284
A3,SSEST,S,112,8,120,1.01869714072669,0.926317320782734,0.0398997429688752
A3,SSEST,S,112,9,121,1.04353046696545,0.929911553788836,0.0545964245356796
A3,SSEST,S,112,10,122,1.07005377178376,0.933499763650742,0.0735905869419192
A3,SSEST,S,112,11,123,1.09809765370247,0.93708196284076,0.0942537624893007
A3,SSEST,S,112,12,124,1.1274785080547,0.940658162801297,0.116379919093474
A3,SSEST,S,112,13,125,1.15799903712437,0.944228374109872,0.139754326179658
A3,SSEST,S,112,14,126,1.18944897931223,0.947792606729536,0.164152867818892
A3,SSEST,S,119,1,120,1.01869714072669,1.00865707958718,0.00373362437367105
A3,SSEST,S,119,2,121,1.04353046696545,1.01283095354174,0.0117451137735613
A3,SSEST,S,119,3,122,1.07005377178376,1.01699623593422,0.0233707531033217
A3,SSEST,S,119,4,123,1.09809765370247,1.02115289520884,0.0397024793168666
A3,SSEST,S,119,5,124,1.1274785080547,1.02530090076818,0.0592240941773523
A3,SSEST,S,119,6,125,1.15799903712437,1.02944022300083,0.0804243769080438
A3,SSEST,S,119,7,126,1.18944897931223,1.03357083335319,0.10294032408193
A3,SSEST,S,119,8,127,1.22160607391179,1.0376927041383,0.126456839806618
A3,SSEST,S,119,9,128,1.25423727228529,1.04180580851303,0.150679554708675
A3,SSEST,S,119,10,129,1.2871001998011,1.04591012062265,0.175323139966742
A3,SSEST,S,119,11,130,1.3199448660054,1.05000561544593,0.200106169197039
A3,SSEST,S,119,12,131,1.35251561334646,1.05409226872702,0.224749182804245
A3,SSEST,S,119,13,132,1.38455328755885,1.05817005700985,0.248974507445586
A3,SSEST,S,119,14,133,1.41579760576024,1.06223895771616,0.272507126589578
A3,SSEST,S,126,1,127,1.22160607391179,1.20789563913863,0.00505193782035545
A3,SSEST,S,126,2,128,1.25423727228529,1.21349553054862,0.0160636133450984
A3,SSEST,S,126,3,129,1.2871001998011,1.21909733009769,0.0307138094815872
A3,SSEST,S,126,4,130,1.3199448660054,1.2247008093761,0.0489854436081519
A3,SSEST,S,126,5,131,1.35251561334646,1.23030573861776,0.0687228481913807
A3,SSEST,S,126,6,132,1.38455328755885,1.23591188676918,0.0885444660681393
A3,SSEST,S,126,7,133,1.41579760576024,1.24151902153735,0.108004477037499
A3,SSEST,S,126,8,134,1.44598969163355,1.24712690947075,0.126731296552437
A3,SSEST,S,126,9,135,1.47487474097027,1.25273531604555,0.144395713779841
A3,SSEST,S,126,10,136,1.50220477553552,1.25834400569179,0.160697656775411
A3,SSEST,S,126,11,137,1.52774143885977,1.26395274189983,0.175360661939455
A3,SSEST,S,126,12,138,1.55125878431978,1.26956128732257,0.188129941122062
A3,SSEST,S,126,13,139,1.57254600386394,1.27516940384498,0.198772254489768
A3,SSEST,S,126,14,140,1.59141004505287,1.2807768526072,0.207076709398731
A3,SSEST,S,133,1,134,1.44598969163355,1.43538298908375,0.00409291703461188
A3,SSEST,S,133,2,135,1.47487474097027,1.44397731601834,0.0115085394601731
A3,SSEST,S,133,3,136,1.50220477553552,1.45260470936368,0.0181559919672114
A3,SSEST,S,133,4,137,1.52774143885977,1.46126440018469,0.0241362612387408
A3,SSEST,S,133,5,138,1.55125878431978,1.46995557470134,0.030291304696366
A3,SSEST,S,133,6,139,1.57254600386394,1.47867737482316,0.0353410518189733
A3,SSEST,S,133,7,140,1.59141004505287,1.48742889995217,0.0391289092726339
A3,SSEST,S,133,8,141,1.60767806477234,1.49620920195716,0.0415291164114595
A3,SSEST,S,133,9,142,1.62119967003926,1.50501728471595,0.0424386762565092
A3,SSEST,S,133,10,143,1.63184889972795,1.51385210794467,0.0427717443979168
A3,SSEST,S,133,11,144,1.63952590571536,1.52271258359756,0.0425870922483846
A3,SSEST,S,133,12,145,1.64415829776442,1.53159757468136,0.0413742982019049
A3,SSEST,S,133,13,146,1.64570212328021,1.54050589682123,0.0391200657159098
A3,SSEST,S,133,14,147,1.64414246069943,1.5494363206339,0.0358205893230683
A3,SSEST,S,140,1,141,1.60767806477234,1.60560222053159,0.00325455010730318
A3,SSEST,S,140,2,142,1.62119967003926,1.61652686647185,0.00713968328369793
A3,SSEST,S,140,3,143,1.63184889972795,1.62750120691256,0.00946218104495693
A3,SSEST,S,140,4,144,1.63952590571536,1.63852295305682,0.0110485377926909
A3,SSEST,S,140,5,145,1.64415829776442,1.64958963572972,0.0132887719544786
A3,SSEST,S,140,6,146,1.64570212328021,1.6606986029163,0.0159706352307142
A3,SSEST,S,140,7,147,1.64414246069943,1.6718470355019,0.0189155262891798
A3,SSEST,S,140,8,148,1.63949361349869,1.68303192905223,0.0221475079871816
A3,SSEST,S,140,9,149,1.63179890040021,1.69425009033959,0.0256785149878297
A3,SSEST,S,140,10,150,1.62113004607299,1.70549814668481,0.0327370009669493
A3,SSEST,S,140,11,151,1.60758618522636,1.71677255424806,0.0413482707751198
A3,SSEST,S,140,12,152,1.59129250122879,1.72806958803857,0.0508824308254099
A3,SSEST,S,140,13,153,1.57239852802776,1.73938535271316,0.0638306663635019
A3,SSEST,S,140,14,154,1.55107615098467,1.7507158014536,0.0804797535220252
A3,SSEST,S,147,1,148,1.63949361349869,1.64647883374565,0.00368269805148865
A3,SSEST,S,147,2,149,1.63179890040021,1.65407097101697,0.00888397768521404
A3,SSEST,S,147,3,150,1.62113004607299,1.6616170097051,0.0153976316448901
A3,SSEST,S,147,4,151,1.60758618522636,1.6691126138661,0.0228327036927676
A3,SSEST,S,147,5,152,1.59129250122879,1.67655327329294,0.0323346642981538
A3,SSEST,S,147,6,153,1.57239852802776,1.68393432157214,0.0451653994029022
A3,SSEST,S,147,7,154,1.55107615098467,1.69125096534005,0.0628279324860667
A3,SSEST,S,147,8,155,1.52751734808735,1.69849828662632,0.0853203691136838
A3,SSEST,S,147,9,156,1.50193171770902,1.7056712674322,0.111777757836592
A3,SSEST,S,147,10,157,1.47454384252821,1.71276482110085,0.140215922376816
A3,SSEST,S,147,11,158,1.44559054133432,1.71977381507572,0.17034703937267
A3,SSEST,S,147,12,159,1.4153180611801,1.72669310520009,0.201885533805238
A3,SSEST,S,147,13,160,1.38397926171425,1.73351757994931,0.234547326555049
A3,SSEST,S,147,14,161,1.3518308415805,1.74024217726009,0.268050328876898
A3,SSEST,S,154,1,155,1.52751734808735,1.54252375215043,0.00555836429110794
