date,t,I_observed,I_smoothed,Lambda_t,Rt_est,Rt_model_input,Rt_evaluation_proxy
2021-07-12,498,0,216.285714285714,251.919026369837,0.858552517459282,0.858552517459282,0.858552517459282
2021-07-13,499,443,220.285714285714,242.252149428045,0.909324085692561,0.909324085692561,0.909324085692561
2021-07-14,500,370,220.428571428571,233.269265848609,0.944953338051954,0.944953338051954,0.944953338051954
2021-07-15,501,350,233.571428571429,226.674718050892,1.03042558331974,1.03042558331974,1.03042558331974
2021-07-16,502,366,252,222.887009877402,1.13061770687584,1.13061770687584,1.13061770687584
2021-07-17,503,337,267.571428571429,222.084206496495,1.20481970686939,1.20481970686939,1.20481970686939
2021-07-18,504,11,268.142857142857,224.946972211893,1.19202696753915,1.19202696753915,1.19202696753915
2021-07-19,505,6,269,231.70354967915,1.16096624489567,1.16096624489567,1.16096624489567
2021-07-20,506,628,295.428571428571,240.853065490276,1.22659253195388,1.22659253195388,1.22659253195388
2021-07-21,507,517,316.428571428571,250.109666988295,1.26515930087332,1.26515930087332,1.26515930087332
2021-07-22,508,582,349.571428571429,259.369156339525,1.34777563186359,1.34777563186359,1.34777563186359
2021-07-23,509,477,365.428571428571,270.416982394698,1.35135215322829,1.35135215322829,1.35135215322829
2021-07-24,510,444,380.714285714286,284.976996227414,1.33594742998299,1.33594742998299,1.33594742998299
2021-07-25,511,11,380.714285714286,303.02905687833,1.25636230939776,1.25636230939776,1.25636230939776
2021-07-26,512,2,380.142857142857,322.6695615108,1.17811811985908,1.17811811985908,1.17811811985908
2021-07-27,513,839,410.285714285714,341.114039493638,1.20278167059543,1.20278167059543,1.20278167059543
2021-07-28,514,654,429.857142857143,356.150139576356,1.20695486282404,1.20695486282404,1.20695486282404
2021-07-29,515,656,440.428571428571,368.714748617883,1.19449675685474,1.19449675685474,1.19449675685474
2021-07-30,516,621,461,381.527564020056,1.20830064056857,1.20830064056857,1.20830064056857
2021-07-31,517,686,495.571428571429,395.668940795108,1.2524900932976,1.2524900932976,1.2524900932976
2021-08-01,518,4,494.571428571429,411.045310493152,1.20320416252424,1.20320416252424,1.20320416252424
2021-08-02,519,1,494.428571428571,428.251095406561,1.15452961295799,1.15452961295799,1.15452961295799
2021-08-03,520,1151,539,446.48564391732,1.20720566796054,1.20720566796054,1.20720566796054
2021-08-04,521,961,582.857142857143,463.24903633588,1.25819396726071,1.25819396726071,1.25819396726071
2021-08-05,522,853,611,479.181028772668,1.27509221632785,1.27509221632785,1.27509221632785
2021-08-06,523,819,639.285714285714,498.073797543613,1.28351605211622,1.28351605211622,1.28351605211622
2021-08-07,524,818,658.142857142857,521.883215721915,1.26109220859394,1.26109220859394,1.26109220859394
2021-08-08,525,6,658.428571428571,549.413903354562,1.19841992968943,1.19841992968943,1.19841992968943
2021-08-09,526,3,658.714285714286,577.923175196312,1.1397955887312,1.1397955887312,1.1397955887312
2021-08-10,527,1487,706.714285714286,603.936843010653,1.17017912368333,1.17017912368333,1.17017912368333
2021-08-11,528,1201,741,624.912570051668,1.1857658743186,1.1857658743186,1.1857658743186
2021-08-12,529,1057,770.142857142857,642.860404030642,1.19799392265284,1.19799392265284,1.19799392265284
2021-08-13,530,1040,801.714285714286,662.331311586108,1.21044297874789,1.21044297874789,1.21044297874789
2021-08-14,531,1016,830,685.567344954804,1.21067610076253,1.21067610076253,1.21067610076253
2021-08-15,532,8,830.285714285714,712.201324550553,1.16580197995234,1.16580197995234,1.16580197995234
2021-08-16,533,10,831.285714285714,740.707296618856,1.12228638502729,1.12228638502729,1.12228638502729
2021-08-17,534,1780,873.142857142857,768.069646393895,1.13680167058063,1.13680167058063,1.13680167058063
2021-08-18,535,1330,891.571428571429,791.127890582171,1.12696245346039,1.12696245346039,1.12696245346039
2021-08-19,536,1275,922.714285714286,810.67912987547,1.13819913663748,1.13819913663748,1.13819913663748
2021-08-20,537,1028,921,829.744501701141,1.1099802386298,1.1099802386298,1.1099802386298
2021-08-21,538,1047,925.428571428571,850.122440586285,1.08858268791299,1.08858268791299,1.08858268791299
2021-08-22,539,1,924.428571428571,870.755436446613,1.06163973572303,1.06163973572303,1.06163973572303
2021-08-23,540,3,923.428571428571,888.937193482585,1.03880069165613,1.03880069165613,1.03880069165613
2021-08-24,541,1708,913.142857142857,902.870892362018,1.01137700292227,1.01137700292227,1.01137700292227
2021-08-25,542,1270,904.571428571429,912.175721099628,0.991663566183243,0.991663566183243,0.991663566183243
2021-08-26,543,1516,939,917.004712331764,1.0239860137821,1.0239860137821,1.0239860137821
2021-08-27,544,1270,973.571428571429,917.942526102285,1.0606017271096,1.0606017271096,1.0606017271096
2021-08-28,545,916,954.857142857143,918.378240631359,1.03972100014119,1.03972100014119,1.03972100014119
2021-08-29,546,3,955.142857142857,923.087482022545,1.0347262591516,1.0347262591516,1.0347262591516
2021-08-30,547,5,955.428571428571,931.905831971185,1.02524154120554,1.02524154120554,1.02524154120554
2021-08-31,548,2356,1048,940.878075477478,1.1138531413522,1.1138531413522,1.1138531413522
2021-09-01,549,1022,1012.57142857143,948.073212551897,1.06803083893271,1.06803083893271,1.06803083893271
