Scenario,Model,ExoMode,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_I,ForecastDriven_I,PersistenceRt_I,ForecastDrivenAbsoluteError,PersistenceRtAbsoluteError
A3,SSEST,I,336,337,11,347,2381.67339334484,2406.86198421222,2403.27963911239,25.1885908673817,21.6062457675448
A3,SSEST,I,336,337,12,348,2348.71072803191,2381.73351699952,2373.45626847444,33.0227889676075,24.7455404425309
A3,SSEST,I,336,337,13,349,2316.08897022158,2358.31073623091,2344.01228226426,42.2217660093274,27.923312042677
A3,SSEST,I,336,337,14,350,2283.8235899014,2336.79791365742,2314.94253008064,52.9743237560106,31.1189401792321
A3,SSEST,I,343,344,1,344,2482.39771708499,2482.39771708499,2482.39771708499,0,0
A3,SSEST,I,343,344,2,345,2448.54187396436,2448.58011673337,2448.77502700868,0.0382427690101395,0.233153044325718
A3,SSEST,I,343,344,3,346,2414.95804493981,2415.18796969629,2415.61852044986,0.229924756474702,0.660475510050219
A3,SSEST,I,343,344,4,347,2381.67339334484,2382.41975962729,2382.9213399731,0.746366282451618,1.24794662825434
A3,SSEST,I,343,344,5,348,2348.71072803191,2350.44098245058,2350.67673984963,1.73025441866957,1.96601181771712
A3,SSEST,I,343,344,6,349,2316.08897022158,2319.39254673701,2318.87808408587,3.30357651542818,2.78911386429354
A3,SSEST,I,343,344,7,350,2283.8235899014,2289.38244224742,2287.51884448157,5.5588523460201,3.69525458016051
A3,SSEST,I,343,344,8,351,2251.92701022626,2260.5276354563,2256.59259871774,8.60062523004717,4.66558849148078
A3,SSEST,I,343,344,9,352,2220.40897928095,2232.97370936958,2226.09302847445,12.5647300886262,5.68404919350223
A3,SSEST,I,343,344,10,353,2189.27690931217,2206.92462430245,2196.01391757833,17.6477149902785,6.73700826616232
A3,SSEST,I,343,344,11,354,2158.5361841332,2182.41546796743,2166.34915017981,23.8792838342283,7.81296604660565
A3,SSEST,I,343,344,12,355,2128.19043586826,2159.48834404149,2137.09270896007,31.2979081732287,8.90227309180273
A3,SSEST,I,343,344,13,356,2098.24179254872,2138.29513409161,2108.23867336756,40.0533415428895,9.99688081884005
A3,SSEST,I,343,344,14,357,2068.69109831747,2118.88691577316,2079.78121788401,50.195817455683,11.0901195665401
A3,SSEST,I,350,351,1,351,2251.92701022626,2251.92701022626,2251.92701022626,0,0
A3,SSEST,I,350,351,2,352,2220.40897928095,2220.44137219765,2220.48462947824,0.0323929167016104,0.0756501972859951
A3,SSEST,I,350,351,3,353,2189.27690931217,2189.46613206347,2189.4896357559,0.189222751300349,0.212726443734937
A3,SSEST,I,350,351,4,354,2158.5361841332,2159.15719095178,2158.93532984176,0.621006818573278,0.399145708556716
A3,SSEST,I,350,351,5,355,2128.19043586826,2129.65505093583,2128.81512313987,1.46461506756896,0.624687271607854
A3,SSEST,I,350,351,6,356,2098.24179254872,2101.08681246425,2099.12253564893,2.84501991552543,0.880743100209202
A3,SSEST,I,350,351,7,357,2068.69109831747,2073.56826183194,2069.85119397051,4.87716351446625,1.16009565304148
A3,SSEST,I,350,351,8,358,2039.53810815503,2047.18458518108,2040.99482935237,7.64647702605407,1.45672119734718
A3,SSEST,I,350,351,9,359,2010.78165912581,2022.09559095249,2012.54727576648,11.3139318266865,1.7656166406739
A3,SSEST,I,350,351,10,360,1982.41982016887,1998.36493683522,1984.50246802158,15.9451166663509,2.08264785271012
A3,SSEST,I,350,351,11,361,1954.45002243545,1976.07044546312,1956.85443990996,21.6204230276635,2.40441747451177
A3,SSEST,I,350,351,12,362,1926.86917211699,1955.31222211513,1929.59732238818,28.4430499981447,2.72815027119486
A3,SSEST,I,350,351,13,363,1899.67374762057,1936.15212686842,1902.72534179132,36.4783792478481,3.05159417075083
A3,SSEST,I,350,351,14,364,1872.85988284239,1918.65446659939,1876.23281808053,45.7945837569932,3.37293523813764
A4,ARX,I,49,50,1,50,291.087718519595,291.087718519595,291.087718519595,0,0
A4,ARX,I,49,50,2,51,292.000781611033,292.002704714511,291.654308823329,0.00192310347870261,0.346472787703419
A4,ARX,I,49,50,3,52,293.27371068751,293.282487751688,292.222030902743,0.00877706417850277,1.05167978476641
A4,ARX,I,49,50,4,53,294.918638448671,294.943481343722,292.790886723056,0.02484289505162,2.12775172561419
A4,ARX,I,49,50,5,54,296.947474625533,297.001787477226,293.360878255204,0.0543128516929983,3.58659637032849
A4,ARX,I,49,50,6,55,299.37179787905,299.474369044561,293.932007475835,0.10257116551071,5.43979040321517
A4,ARX,I,49,50,7,56,302.202729844009,302.377795844561,294.504276367304,0.17506600055242,7.69845347670548
A4,ARX,I,49,50,8,57,305.450789392816,305.729153151025,295.07768691767,0.278363758208968,10.3731024751459
A4,ARX,I,49,50,9,58,309.12572542199,309.544235891662,295.652241120695,0.418510469672185,13.4734843012953
A4,ARX,I,49,50,10,59,313.236326823789,313.840646910327,296.227940975833,0.604320086537825,17.0083858479561
A4,ARX,I,49,50,11,60,317.790208812983,318.634294418841,296.804788488232,0.844085605858481,20.9854203247508
A4,ARX,I,49,50,12,61,322.793575448253,323.941091098156,297.38278566873,1.14751564990206,25.4107897795239
A4,ARX,I,49,50,13,62,328.250959028441,329.776802159439,297.961934533847,1.52584313099817,30.2890244945943
A4,ARX,I,49,50,14,63,334.164938058841,336.153390173047,298.542237105786,1.98845211420621,35.6227009530551
A4,ARX,I,56,57,1,57,305.450789392816,305.450789392816,305.450789392816,0,0
A4,ARX,I,56,57,2,58,309.12572542199,309.125282239591,308.733690983662,0.000443182399465059,0.39203443832821
A4,ARX,I,56,57,3,59,313.236326823789,313.234163228507,312.051806924806,0.00216359528133125,1.18451989898233
