Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,9,58,1.15131131301421,0.5,0.5,1.15132808048372,1.15133057874761,0,2.49826389575603e-06,-0.5,0.5,6.95681419462524e-05,1.73920354865631e-05,6.24565973939006e-07,1.67674695126241e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,10,59,1.15296707647496,0.5,0.5,1.15298921840839,1.15299213838637,0,2.91997797119414e-06,-0.5,0.5,9.14877117261792e-05,2.28719279315448e-05,7.29994492798536e-07,2.21419334387463e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,11,60,1.15457751248964,0.5,0.5,1.15460623733534,1.15460940432262,0,3.16698728264342e-06,-0.5,0.5,0.000118066370055292,2.9516592513823e-05,7.91746820660855e-07,2.87248456931621e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,12,61,1.15614214385133,0.5,0.5,1.15617853960146,1.15618198573926,0,3.44613780134395e-06,-0.5,0.5,0.000149029138338808,3.72572845847019e-05,8.61534450335988e-07,3.63957501343659e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,13,62,1.15766050692596,0.5,0.5,1.15770585730743,1.15770959990604,0,3.7425986125772e-06,-0.5,0.5,0.000185144124473569,4.62860311183921e-05,9.35649653144299e-07,4.53503814652478e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,14,63,1.15913215178981,0.5,0.5,1.15918798121864,1.15919205367232,0,4.07245367295417e-06,-0.5,0.5,0.000227390169019515,5.68475422548786e-05,1.01811341823854e-06,5.58294288366401e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,1,57,1.14961071274585,0.05,0.95,1.14961077514261,1.14961124444116,0,4.69298555128006e-07,-0.95,0.95,2.96516911424405e-06,7.41292278561012e-08,1.17324638782002e-08,6.23967639779011e-08,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,2,58,1.15131131301421,0.05,0.95,1.15131188648087,1.15131279582568,0,9.09344807897838e-07,-0.95,0.95,2.3848011409644e-05,5.962002852411e-07,2.2733620197446e-08,5.73466665043654e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,3,59,1.15296707647496,0.05,0.95,1.1529683708476,1.15296997368717,0,1.60283957151286e-06,-0.95,0.95,5.33777454896356e-05,1.33444363724089e-06,4.00709892878215e-08,1.29437264795307e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,4,60,1.15457751248964,0.05,0.95,1.15457995558368,1.15458239068612,0,2.43510244102296e-06,-0.95,0.95,0.000100158863746369,2.50397159365923e-06,6.08775610255741e-08,2.44309403263365e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,5,61,1.15614214385133,0.05,0.95,1.15614645899586,1.15614980208323,0,3.34308736471556e-06,-0.95,0.95,0.000175948868863518,4.39872172158795e-06,8.35771841178889e-08,4.31514453747006e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,6,62,1.15766050692596,0.05,0.95,1.15766728368363,1.15767160935222,0,4.32566858599159e-06,-0.95,0.95,0.000275395975213755,6.88489938034387e-06,1.0814171464979e-07,6.77675766569408e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,7,63,1.15913215178981,0.05,0.95,1.15914221511807,1.15914756275461,0,5.34763654136405e-06,-0.95,0.95,0.000407880767102631,1.01970191775658e-05,1.33690913534101e-07,1.00633282640317e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,8,64,1.16055664236272,0.05,0.95,1.16057080324906,1.16057725146681,0,6.44821774820059e-06,-0.95,0.95,0.000572883671338786,1.43220917834697e-05,1.61205443705015e-07,1.41608863397646e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,9,65,1.1619335565374,0.05,0.95,1.16195291411942,1.16196032018891,0,7.40606948790301e-06,-0.95,0.95,0.000781709350154092,1.95427337538523e-05,1.85151737197575e-07,1.93575820166547e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,10,66,1.16326248630447,0.05,0.95,1.16328801226488,1.16329674430496,0,8.73204008655648e-06,-0.95,0.95,0.00102977045624009,2.57442614060022e-05,2.18301002163912e-07,2.55259604038383e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,11,67,1.16454303787336,0.05,0.95,1.16457595403344,1.16458636632077,0,1.04122873341161e-05,-0.95,0.95,0.00132705869040306,3.31764672600765e-05,2.60307183352904e-07,3.29161600767236e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,12,68,1.16577483178899,0.05,0.95,1.16581665619543,1.16582887397883,0,1.22177834016579e-05,-0.95,0.95,0.00168519404071588,4.21298510178969e-05,3.05444585041448e-07,4.18244064328555e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,13,69,1.16695750304426,0.05,0.95,1.16700983129994,1.16702373629772,0,1.39049977840866e-05,-0.95,0.95,0.00210703522497169,5.26758806242922e-05,3.47624944602165e-07,5.232825567969e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,14,70,1.16809070118813,0.05,0.95,1.16815515628913,1.16817057313387,0,1.54168447439318e-05,-0.95,0.95,0.00259362088483517,6.48405221208792e-05,3.85421118598295e-07,6.44551010022809e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,56,57,1,57,1.14961071274585,0.1,0.9,1.14961089179347,1.14961115342707,0,2.61633594345057e-07,-0.9,0.9,3.84258615993005e-06,1.92129307996503e-07,1.30816797172528e-08,1.7904762827925e-07,0
