Scenario,Model,ExoMode,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
A1,N4SID,None,336,337,9,345,0.93924587807306,0.939192182449168,-5.36956238911257e-05,5.36956238911257e-05,2.88322002505723e-09,2.99915478633092e-05,1,0.000353308530396113
A1,N4SID,None,336,337,10,346,0.942171460895374,0.942107267301922,-6.4193593452333e-05,6.4193593452333e-05,4.12081744032341e-09,3.54401085870716e-05,1,0.000423489269764959
A1,N4SID,None,336,337,11,347,0.945114179561868,0.945038713872618,-7.54656892499872e-05,7.54656892499872e-05,5.69507025397563e-09,4.13111603945317e-05,1,0.00049493582925797
A1,N4SID,None,336,337,12,348,0.94807316208149,0.94799209774514,-8.10643363499119e-05,8.10643363499119e-05,6.57142662785166e-09,4.50329826675132e-05,1,0.000560122983228883
A1,N4SID,None,336,337,13,349,0.951047531643861,0.95096401468468,-8.35169591812956e-05,8.35169591812956e-05,6.9750824708902e-09,5.17426933822359e-05,1,0.000645731886175976
A1,N4SID,None,336,337,14,350,0.954036406879086,0.95395554984044,-8.08570386466867e-05,8.08570386466867e-05,6.53786069871179e-09,5.75218821195483e-05,1,0.000724750091946197
A1,N4SID,None,343,344,1,344,0.936338298008253,0.936338954437845,6.56429591683327e-07,6.56429591683327e-07,4.3089980883754e-13,2.67335330321009e-07,0.75,1.39201412288625e-06
A1,N4SID,None,343,344,2,345,0.93924587807306,0.939248246233889,2.36816082910263e-06,2.36816082910263e-06,5.60818571249605e-12,1.08215882934637e-06,0,3.34488360323459e-06
A1,N4SID,None,343,344,3,346,0.942171460895374,0.94217702837552,5.567480145241e-06,5.567480145241e-06,3.09968351676527e-11,3.19939333417822e-06,0,6.41353515060117e-06
A1,N4SID,None,343,344,4,347,0.945114179561868,0.945124616135427,1.04365735591472e-05,1.04365735591472e-05,1.0892206765549e-10,6.54705147369995e-06,0,1.10036117319801e-05
A1,N4SID,None,343,344,5,348,0.94807316208149,0.948090489235071,1.73271535808261e-05,1.73271535808261e-05,3.00230251213536e-10,1.12562940183253e-05,0,1.75991858326063e-05
A1,N4SID,None,343,344,6,349,0.951047531643861,0.9510737106979,2.61790540392326e-05,2.61790540392326e-05,6.85342870389061e-10,1.79584526699707e-05,0,2.5685980613116e-05
A1,N4SID,None,343,344,7,350,0.954036406879086,0.954074702171994,3.82952929079972e-05,3.82952929079972e-05,1.4665294589093e-09,2.66413049959983e-05,0,3.62735647593815e-05
A1,N4SID,None,343,344,8,351,0.957038902118929,0.957091717727251,5.28156083218212e-05,5.28156083218212e-05,2.78948848240403e-09,3.75436102010987e-05,0,4.89860067047765e-05
A1,N4SID,None,343,344,9,352,0.96005412765925,0.960126602411411,7.24747521611002e-05,7.24747521611002e-05,5.2525897008129e-09,5.10329848172243e-05,0,6.34866461639016e-05
A1,N4SID,None,343,344,10,353,0.963081190023648,0.963175850166247,9.46601425982907e-05,9.46601425982907e-05,8.96054259672873e-09,6.73103983209516e-05,0,8.00865473916113e-05
A1,N4SID,None,343,344,11,354,0.966119192228216,0.966240282449955,0.000121090221738784,0.000121090221738784,1.4662841800748e-08,8.66010318041763e-05,0,9.84069742896443e-05
A1,N4SID,None,343,344,12,355,0.969167234047334,0.969319307633258,0.000152073585924062,0.000152073585924062,2.3126375535803e-08,0.000109121430020066,0,0.000119382550388708
A1,N4SID,None,343,344,13,356,0.972224412280429,0.972412699587313,0.000188287306883472,0.000188287306883472,3.54521099334309e-08,0.000135265621817901,0,0.000142988729439436
A1,N4SID,None,343,344,14,357,0.975289821019612,0.975521000829163,0.000231179809550675,0.000231179809550675,5.34441043438861e-08,0.000166180870001551,0,0.000168935685523425
A1,N4SID,None,350,351,1,351,0.957038902118929,0.957038542506655,-3.59612273737042e-07,3.59612273737042e-07,1.29320987422325e-13,1.76285154850846e-07,0.75,1.35933878844807e-06
A1,N4SID,None,350,351,2,352,0.96005412765925,0.96005272265143,-1.40500781975472e-06,1.40500781975472e-06,1.97404697357192e-12,5.06455825256053e-07,0.75,3.37868236793826e-06
A1,N4SID,None,350,351,3,353,0.963081190023648,0.963078067898933,-3.12212471487161e-06,3.12212471487161e-06,9.74766273521213e-12,1.11205801796885e-06,0.75,6.27827731522479e-06
A1,N4SID,None,350,351,4,354,0.966119192228216,0.96611366961686,-5.52261135644549e-06,5.52261135644549e-06,3.04992361943407e-11,2.16675533339125e-06,0.5,1.05750849359321e-05
A1,N4SID,None,350,351,5,355,0.969167234047334,0.969158140347794,-9.09369953994155e-06,9.09369953994155e-06,8.26953713227331e-11,3.65790343594408e-06,0.25,1.61985049305646e-05
A1,N4SID,None,350,351,6,356,0.972224412280429,0.972210200064385,-1.42122160439184e-05,1.42122160439184e-05,2.01987084879012e-10,6.15406413742211e-06,0.25,2.32779478099576e-05
A1,N4SID,None,350,351,7,357,0.975289821019612,0.975269223900525,-2.05971190870846e-05,2.05971190870846e-05,4.24241314687545e-10,9.70423988616699e-06,0.25,3.12586003138604e-05
A1,N4SID,None,350,351,8,358,0.978362551918116,0.978333631687794,-2.89202303228597e-05,2.89202303228597e-05,8.36379721927255e-10,1.44102054316919e-05,0,4.07879349641482e-05
A1,N4SID,None,350,351,9,359,0.981441694459462,0.981402431343908,-3.92631155535783e-05,3.92631155535783e-05,1.54159224297364e-09,2.10808140439482e-05,0,5.25333388045612e-05
A1,N4SID,None,350,351,10,360,0.98452633622726,0.984474876934682,-5.14592925771051e-05,5.14592925771051e-05,2.64805879253611e-09,2.95787765325338e-05,0,6.58943828477365e-05
A1,N4SID,None,350,351,11,361,0.987615563175582,0.987547383360824,-6.81798147582624e-05,6.81798147582624e-05,4.64848714047098e-09,4.05830899032449e-05,0,8.11172172032748e-05
