Scenario,Model,ExoMode,WindowDay,WindowDayIdx,ForecastDrivenRMSE,ForecastDrivenMAE,PersistenceRtRMSE,PersistenceRtMAE
A1,SSEST,I,259,260,0.435793228226925,0.300951618997715,8.03317334903573,6.34970413922731
A1,SSEST,I,266,267,0.271372170666113,0.187740504904582,2.47076953031965,2.04329395955407
A1,SSEST,I,273,274,0.287740696549219,0.198986476385504,1.63263219100205,1.07121005847104
A1,SSEST,I,280,281,0.163877900645808,0.114780697692757,4.39708636808428,3.23565704303811
A1,SSEST,I,287,288,0.0899008975102931,0.0626580309381422,6.25014981575648,4.67723193594176
A1,SSEST,I,294,295,0.0959968947924615,0.0671528187073786,7.42435476111812,5.58940055221035
A1,SSEST,I,301,302,0.0373435972115748,0.0243348967411196,8.1229637068487,6.13010843371196
A1,SSEST,I,308,309,0.0345346307860513,0.0231290059087265,8.50490215418731,6.42250383368597
A1,SSEST,I,315,316,0.0384236099031735,0.0258340946234707,8.68970667311669,6.55931300642936
A1,SSEST,I,322,323,0.0447023781552012,0.0309507947376833,8.76476850233843,6.60839102832371
A1,SSEST,I,329,330,0.0640647725329597,0.0433396948594528,8.79256721922356,6.61824742824867
A1,SSEST,I,336,337,0.00235879503552927,0.00136643368798721,8.81699474300079,6.62290757019901
A1,SSEST,I,343,344,0.0634506510062667,0.0425339239280902,8.86843482387444,6.64584514839221
A1,SSEST,I,350,351,0.0300577094637185,0.0196154492984622,8.96754662324916,6.70293603138635
A1,SSEST,None,49,50,0.00226969864814286,0.00135753015928231,12.2617175768036,8.99682107175032
A1,SSEST,None,56,57,0.00449687973039457,0.00266366220103821,12.067819824155,8.85921167700339
A1,SSEST,None,63,64,0.00575851714019293,0.00348753734509241,11.3202188646485,8.32788355309651
A1,SSEST,None,70,71,0.0712415810465942,0.0455951513605929,9.7476319271885,7.20770369699513
A1,SSEST,None,77,78,0.0713868583256367,0.0451803114780042,7.01377497562333,5.25436666144922
A1,SSEST,None,84,85,0.144801744398746,0.0922645362379464,2.74519331701475,2.17966847719804
A1,SSEST,None,91,92,0.450020438801861,0.288219276858919,3.64289471278349,2.33132900723558
A1,SSEST,None,98,99,0.74984133946429,0.482767334767362,12.3130008433676,8.58732198972958
A1,SSEST,None,105,106,0.786842405047776,0.506795572137337,23.7388881854315,16.8400194132754
A1,SSEST,None,112,113,0.646137793057966,0.418129681392949,38.0489552255276,27.2177775655361
A1,SSEST,None,119,120,0.948352265859675,0.609378975111602,55.1094433121749,39.6518838298979
A1,SSEST,None,126,127,1.20142213831182,0.779974376703324,74.4227486680137,53.8106908243949
A1,SSEST,None,133,134,0.586847532184646,0.384495710303197,95.0824706947927,69.0621227268346
A1,SSEST,None,140,141,1.00657412370951,0.66687331800618,115.79997309429,84.4856299754751
A1,SSEST,None,147,148,1.14680651072366,0.76264890796691,135.01884754882,98.9478249222496
A1,SSEST,None,154,155,2.94568466262906,1.96856985136005,151.113133434544,111.241343916535
A1,SSEST,None,161,162,0.989084115585208,0.667021836727274,162.638288186527,120.266891244435
A1,SSEST,None,168,169,0.331987135305561,0.212880443649867,168.579959560451,125.220017344299
A1,SSEST,None,175,176,0.53642930985087,0.345921105846173,168.534449681483,125.734252576073
A1,SSEST,None,182,183,0.735368573663488,0.496631785031371,162.763721631181,121.93658747407
A1,SSEST,None,189,190,0.389414383242468,0.267351290046658,152.099944148211,114.392729649442
A1,SSEST,None,196,197,0.526527051199928,0.349947019384217,137.727526914456,103.956906542929
A1,SSEST,None,203,204,0.589889170656371,0.394871721366339,120.928489272853,91.5840398037199
A1,SSEST,None,210,211,0.482247529474728,0.325288148964579,102.898018141353,78.1826347754038
A1,SSEST,None,217,218,0.549762555058453,0.36926869392255,84.6790259923909,64.5523074921721
A1,SSEST,None,224,225,0.606628636614933,0.4219618606121,67.1645079531648,51.3784070274079
A1,SSEST,None,231,232,0.0838913692631269,0.052995477146916,51.0853472341665,39.2242621345695
A1,SSEST,None,238,239,0.265504977840837,0.184604439778468,36.9652827487337,28.5004062790646
A1,SSEST,None,245,246,0.0242098333079405,0.0149808679313342,25.0846764260829,19.4366991167723
A1,SSEST,None,252,253,0.148701403510516,0.10126359080365,15.4879329075841,12.0843957095143
A1,SSEST,None,259,260,0.0201930026255594,0.0127935444533835,8.03317334903573,6.34970413922731
A1,SSEST,None,266,267,0.0835381583429618,0.0570458410331704,2.47076953031965,2.04329395955407
A1,SSEST,None,273,274,0.00543904728003924,0.00326911826180419,1.63263219100205,1.07121005847104
A1,SSEST,None,280,281,0.0106809656426046,0.00638465242637462,4.39708636808428,3.23565704303811
A1,SSEST,None,287,288,0.0450084563907182,0.0307002107005019,6.25014981575648,4.67723193594176
A1,SSEST,None,294,295,0.0212052413863537,0.0131861456348474,7.42435476111812,5.58940055221035
A1,SSEST,None,301,302,0.115550195167317,0.0769773120446595,8.1229637068487,6.13010843371196
A1,SSEST,None,308,309,0.0914438652274054,0.0605417472186218,8.50490215418731,6.42250383368597
A1,SSEST,None,315,316,0.0427261608430794,0.0271403720123219,8.68970667311669,6.55931300642936
A1,SSEST,None,322,323,0.0110405200991367,0.0069012628258471,8.76476850233843,6.60839102832371
