Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,WindowWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,AICC
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,329,330,0.00012555255787177,0.000226618890675486,0.000172131303464726,8.60656517323628e-05,4.51322664906344e-05,0.00043378859219997,0,0.196428571428571,-0.591071428571428,0.628571428571428,0.000146272450718563,-7208.32525710099
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,336,337,0.000154118023131962,0.000290261951453866,0.000222212378251549,0.000111106189125774,5.22055669107051e-05,0.000530219348057351,0,0.0892857142857143,-0.698214285714286,0.716071428571428,0.000161547078900021,-7360.19917459261
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,343,344,0.000184366541660469,0.000309214718902236,0.000238011160578366,0.000119005580289183,4.67847895074609e-05,0.000663859067675465,0,0.0357142857142857,-0.751785714285714,0.755357142857143,0.000149001747405282,-7509.16971294257
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,350,351,0.000172895116858886,0.000293347209058133,0.000224628220289347,0.000112314110144673,4.92412088337002e-05,0.000616472706886616,0,0.0178571428571429,-0.769642857142857,0.771428571428571,0.000157335773170023,-7656.64423914419
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,49,50,0.226662461108038,0.297987619038174,0.228848791073346,0.114424395536673,0.00179057274442075,0,0.903766106705075,0,-0.7875,0.7875,0.00612258037871634,-673.4443147465
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,56,57,0.108084254379274,0.145397098528379,0.12001438673126,0.0600071933656299,0.00918996412277466,0,0.417181987218327,0,-0.7875,0.7875,0.031558653115511,-560.299736217043
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,63,64,0.0511612202778093,0.114847125687345,0.082364112807558,0.041182056403779,0.0221326841638851,0.166910750682478,0,0.285714285714286,-0.501785714285714,0.576785714285714,0.0696280906277038,-606.006819549985
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,70,71,0.031729871633122,0.0721717258509958,0.0544703900527658,0.0272351950263829,0.0148633447518068,0.100685882570859,0,0.178571428571429,-0.608928571428571,0.648214285714286,0.0510410488973646,-675.759474997248
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,77,78,0.0181593825031208,0.0442999988518631,0.0342698461489883,0.0171349230744941,0.01629244422757,0.0482898539619795,0,0.339285714285714,-0.448214285714286,0.535714285714286,0.0507126606205252,-746.115366962628
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,84,85,0.012956711022538,0.0387263224511429,0.0300403009882466,0.0150201504941233,0.013819190197177,0.0294658589101205,0,0.428571428571429,-0.358928571428571,0.435714285714286,0.043317568517264,-818.314352187725
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,91,92,0.0133140468142319,0.0357837673337569,0.0280193497540588,0.0140096748770294,0.0128006604769562,0.0331028753100579,0,0.321428571428571,-0.466071428571429,0.535714285714286,0.0418838554658523,-891.611546679603
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,98,99,0.00783623072256151,0.0261108934138724,0.02031468417049,0.010157342085245,0.0143857399565614,0.0107199562097204,0,0.678571428571429,-0.108928571428571,0.266071428571428,0.0462851572660534,-965.665063404605
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,105,106,0.00690888602857648,0.0232089630088062,0.0181051714046076,0.00905258570230381,0.0149597267877721,0.00707767463851828,0,0.75,-0.0375,0.2125,0.0503937489954352,-1040.32855671082
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,112,113,0.00713957312911673,0.0244511673530746,0.019299077523129,0.00964953876156449,0.0111586562154897,0.0113198841039711,0,0.678571428571429,-0.108928571428571,0.255357142857143,0.0394815183725916,-1115.52800592541
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,119,120,0.00506399459031593,0.018127764535883,0.0137994740730252,0.00689973703651259,0.0120358424511139,0.00385239616879522,0,0.767857142857143,-0.0196428571428571,0.2125,0.0387447525828635,-1191.21713984355
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,126,127,0.00586059792478129,0.0199320803562341,0.015396120568197,0.00769806028409849,0.0127888636689503,0.00588576670846703,0,0.732142857142857,-0.0553571428571428,0.223214285714286,0.0437113552832881,-1267.36144729914
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,133,134,0.00495752211168373,0.0173012418691994,0.0130225309669768,0.00651126548348842,0.0114094436517096,0.00438814036737874,0,0.767857142857143,-0.0196428571428571,0.223214285714286,0.0374007212518093,-1343.932264771
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,140,141,0.00550935023349155,0.0195100624490171,0.0149540504872746,0.00747702524363728,0.0123144041983135,0.00500064660876125,0,0.75,-0.0375,0.2125,0.0388344008058379,-1420.90450352
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,147,148,0.00386699370037391,0.0132274419127864,0.0103777783686641,0.00518888918433204,0.00988350237883827,0.00232908008851229,0,0.75,-0.0375,0.2125,0.0363695338687506,-1498.255708447
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,154,155,0.00365293432909443,0.0119976313699279,0.00949687027811156,0.00474843513905578,0.00872741357192245,0.00296235576994671,0,0.714285714285714,-0.0732142857142857,0.233928571428571,0.029868353505378,-1575.96560279381
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,161,162,0.00497054060102611,0.0151068447881406,0.0116092877396596,0.00580464386982978,0.0098907882087888,0.00667200062599892,0,0.75,-0.0375,0.2125,0.0373181886820229,-1654.01580914235
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,168,169,0.00405669069912304,0.0130937290418008,0.0100432541555717,0.00502162707778587,0.00994024263606883,0.003293238432199,0,0.696428571428571,-0.0910714285714286,0.253571428571429,0.036560373912972,-1732.3896366928
A2,Policy Intervention,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A2_ARX_I.mat,175,176,0.00331900035888296,0.0103162585301268,0.00798744839699699,0.0039937241984985,0.00959108393092892,0.00135069348554593,0,0.75,-0.0375,0.223214285714286,0.0324964010559036,-1811.07189814099
