Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,5,68,1.16577483178899,1.16578288449164,8.05270264381264e-06,6.4846019869667e-11,8.05270264381264e-06,6.73830779469093e-06,4.02635132190632e-06,8.96295686725335e-07,2.53997380674775e-05,0,0,-0.7875,0.7875,2.84215690926626e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,6,69,1.16695750304426,1.16696942869656,1.19256523039013e-05,1.42221182873546e-10,1.19256523039013e-05,1.02361379455851e-05,5.96282615195065e-06,1.2045832121832e-06,3.88952113909991e-05,0,0,-0.7875,0.7875,3.80492514195918e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,7,70,1.16809070118813,1.16810724434589,1.65431577623387e-05,2.73676068749628e-10,1.65431577623387e-05,1.46721757829038e-05,8.27157888116936e-06,1.57261360993477e-06,5.6180598531963e-05,0,0,-0.7875,0.7875,4.88944741799946e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,8,71,1.16917409042954,1.16919645916716,2.23687376237347e-05,5.00360422879484e-10,2.23687376237347e-05,2.02261595138907e-05,1.11843688118674e-05,1.94575159340737e-06,7.78875974072335e-05,0,0,-0.7875,0.7875,5.87190133305437e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,9,72,1.17020734973689,1.17023688738825,2.95376513603784e-05,8.72472847887267e-10,2.95376513603784e-05,2.69493229697579e-05,1.47688256801892e-05,2.32887019095962e-06,0.000104174257492762,0,0,-0.7875,0.7875,7.00436117484493e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,10,73,1.17119017293313,1.17122813050187,3.79575687403655e-05,1.44077702467957e-09,3.79575687403655e-05,3.49027084170432e-05,1.89787843701827e-05,2.6240905395214e-06,0.00013545931296699,0,0,-0.7875,0.7875,8.11848631027123e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,11,74,1.17212226878654,1.1721698798794,4.76110928573359e-05,2.26681616306986e-09,4.76110928573359e-05,4.42337645823897e-05,2.38055464286679e-05,2.95736355193643e-06,0.000172289030640149,0,0,-0.7875,0.7875,9.22163579347712e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,12,75,1.17300336109701,1.17306213356025,5.87724632383768e-05,3.45420243510635e-09,5.87724632383768e-05,5.5021053030878e-05,2.93862316191884e-05,3.39100051466867e-06,0.000214817506505094,0,0,-0.7875,0.7875,1.05601206243366e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,13,76,1.17383318877787,1.17390487510276,7.1686324882414e-05,5.13892917514701e-09,7.1686324882414e-05,6.74160618655957e-05,3.5843162441207e-05,3.81691629571246e-06,0.000263712199658261,0,0,-0.7875,0.7875,1.20143720259147e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,63,64,14,77,1.17461150593327,1.17469811745887,8.66115256021871e-05,7.50155636713831e-09,8.66115256021871e-05,8.19208864846691e-05,4.33057628010936e-05,4.29583058547123e-06,0.000321042395794446,0,0,-0.7875,0.7875,1.32557912553843e-05
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,1,71,1.16917409042954,1.16917456602716,4.75597620619439e-07,2.26193096738872e-13,4.75597620619439e-07,3.24073360792444e-07,2.37798810309719e-07,1.68872789879648e-07,1.05165852337663e-06,0,0,-0.7875,0.7875,5.21036625178439e-07
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,2,72,1.17020734973689,1.17020886949452,1.51975763462708e-06,2.30966326800731e-12,1.51975763462708e-06,1.14859269194757e-06,7.59878817313542e-07,3.30463340925125e-07,4.0783249555254e-06,0,0,-0.7875,0.7875,1.10761902627488e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,3,73,1.17119017293313,1.17119337152669,3.19859355868424e-06,1.02310007536563e-11,3.19859355868424e-06,2.51283090587763e-06,1.59929677934212e-06,5.57283391566799e-07,9.15115890554041e-06,0,0,-0.7875,0.7875,1.91607951982586e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,4,74,1.17212226878654,1.17212809074436,5.82195781473338e-06,3.38951927965351e-11,5.82195781473338e-06,4.62112438275813e-06,2.91097890736669e-06,8.42347974372437e-07,1.70417328406725e-05,0,0,-0.7875,0.7875,2.78589566649057e-06
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,70,71,5,75,1.17300336109701,1.17301250468903,9.14359201509285e-06,8.36052749384697e-11,9.14359201509285e-06,7.51807234037462e-06,4.57179600754642e-06,1.10925343420609e-06,2.81502760899333e-05,0,0,-0.7875,0.7875,3.66305471638517e-06
